,text,served_dish,spatial_relation,city,timeRange,country,restaurant_type,restaurant_name,sort,cuisine,party_size_description,facility,poi,state,party_size_number
1001,book a table for me and my step uncle in Malta at a cafeteria,,,,,Malta,cafeteria,,,,me and my step uncle,,,,
1002,I want to eat somewhere that is faraway from Iowa .,,faraway,,,,,,,,,,,Iowa,
1003,2 of us want to eat at a restaurant that serves meatballs in VT,meatballs,,,,,restaurant,,,,,,,VT,2
1004,Book the Space Aliens Grill & Bar in Hord  WY for Feb. the twenty-seventh .,,,Hord,Feb. the twenty-seventh,,,Space Aliens Grill & Bar,,,,,,WY,
1005,book a spot for 3 in Egypt at five,,,,five,Egypt,,,,,,,,,3
1006,"Please book a restaurant for party of 1 in Seeley Lake on july the fourteenth, 2022 .",,,Seeley Lake,"july the fourteenth, 2022",,restaurant,,,,,,,,1
1007,I want to book a cafeteria for 4 that has meze,meze,,,,,cafeteria,,,,,,,,4
1008,need a table for nine in East Prairie  LA,,,East Prairie,,,,,,,,,,LA,nine
1009,book me a restaurant for 4 members at Beaman  Federated States Of Micronesia  in one minute ,,,Beaman,in one minute,,restaurant,,,,,,,Federated States Of Micronesia,4
1010,Need to book a reservtion for a restaurant in Maryland for me and my half sister,,,,,,restaurant,,,,me and my half sister,,,Maryland,
1011,I'd like to eat at a pho  restaurant in VT,pho,,,,,restaurant,,,,,,,VT,
1012,I want to make a reservation for one at a sushi  restaurant in Brucetown,sushi,,Brucetown,,,restaurant,,,,,,,,one
1013,table for nine at an internet  pub,,,,,,pub,,,,,internet,,,nine
1014,I want to book a bar  neighboring  our apartment .,,neighboring,,,,bar,,,,,,our apartment,,
1015,"book a table not far in WY at a gastropub with internet for me, jenny and antoinette  in one week",,not far,,in one week,,gastropub,,,,"me, jenny and antoinette",internet,,WY,
1016,book sot for one at restaurant with wifi,,,,,,restaurant,,,,,wifi,,,one
1017,I need to book a table at The Star Inn that's within walking distance from my place in Ashland,,within walking distance,Ashland,,,,The Star Inn,,,,,,,
1018,I need to book a restaurant for 6 people.,,,,,,restaurant,,,,,,,,6
1019,Book me a reservation for a bar that serves lobster roll in OR,lobster roll,,,,,bar,,,,,,,OR,
1020,I want to book a restaurant with creamed eggs on toast on Kansas Day  within walking distance of British Indian Ocean Territory,creamed eggs on toast,within walking distance,,Kansas Day,British Indian Ocean Territory,restaurant,,,,,,,,
1021,I want a table to seat 10 at a close-by to Ottumwa that serves osteria and ranch dressing .,ranch dressing,close-by,Ottumwa,,,osteria,,,,,,,,10
1022,I would like to book the best  food court with persian food within the same area as OK for my ex husband and I ,,within the same area,,,,food court,,best,persian,my ex husband and I,,,OK,
1023,Book a table at a bar in Argentina .,,,,,Argentina,bar,,,,,,,,
1024,book a spot for nine at a top-rated  brasserie that has swiss  within the same area of New York,,within the same area,,,,brasserie,,top-rated,swiss,,,,New York,nine
1025,book a table this evening in Saint Vincent and the Grenadines at a gastropub,,,,evening,Saint Vincent and the Grenadines,gastropub,,,,,,,,
1026,book a table in Hallwood for one for supper,,,Hallwood,supper,,,,,,,,,,one
1027,I want to eat panisses the nearby  cafeteria in Naytahwaush,panisses,nearby,Naytahwaush,,,cafeteria,,,,,,,,
1028,Book a table at a osteria type restaurant in SD,,,,,,restaurant,,,,,,,SD,
1029,Book a table for kristina and teresa  in 1 second .,,,,in 1 second,,,,,,kristina and teresa,,,,
1030,I want to book The Commons Restaurant for five on Dec. the eighth,,,,Dec. the eighth,,,The Commons Restaurant,,,,,,,five
1031,Book the CityZen for six people.,,,,,,,CityZen,,,,,,,six
1032,"Please get me seating at the tavern in Red Lick , Michigan",,,Red Lick,,,tavern,,,,,,,Michigan,
1033,"Need to book a table at a fast food restaurant for a party of nine on November seventeenth, 2019",,,,"November seventeenth, 2019",,fast food,,,,,,,,nine
1034,I want to eat at a bakery with deidre and rosa in Jersey .,,,,,Jersey,bakery,,,,deidre and rosa,,,,
1035,Book a restaurant for ten people 1 second from now .,,,,1 second from now,,restaurant,,,,,,,,ten
1036,"Book reservations for ava gonzales, raquel brown and I on Jul. 6, 2040 in Hainesville at a restaurant",,,Hainesville,"Jul. 6, 2040",,restaurant,,,,"ava gonzales, raquel brown and I",,,,
1037,I need to get seats for me and my ex wife to eat in Egypt .,,,,,Egypt,,,,,me and my ex wife,,,,
1038,book The Lake House for me and carmella,,,,,,,The Lake House,,,me and carmella,,,,
1039,Find a reservation at a brasserie restaurant  nearby  SC for a party of ten,,nearby,,,,brasserie restaurant,,,,,,,SC,ten
1040,antoinette and I want to eat at an oyster bar that serves pizzette in South Duxbury  ME,pizzette,,South Duxbury,,,oyster bar,,,,antoinette and I,,,ME,
1041,"Book a restaurant in Medford Lakes on Sep. 8, 2033 for essie, tonya and I",,,Medford Lakes,"Sep. 8, 2033",,restaurant,,,,"essie, tonya and I",,,,
1042,book a restaurant for four in Burundi,,,,,Burundi,restaurant,,,,,,,,four
1043,"I'd like a table for my teenager and I at the Washington, D.C. Jewish Community Center",,,,,,,"Washington, D.C. Jewish Community Center",,,my teenager and I,,,,
1044,Book a table for doris and I in New Tulsa,,,New Tulsa,,,,,,,doris and I,,,,
1045,"Book a reservation at a restaurant with me, matilda and deana",,,,,,restaurant,,,,"me, matilda and deana",,,,
1046,Reserve a place to eat on march fifteenth in China  within the same area .,,within the same area,,march fifteenth,China,,,,,,,,,
1047,"I'd like a table for three at Black Rapids Roadhouse on February 24th, 2039",,,,"February 24th, 2039",,,Black Rapids Roadhouse,,,,,,,three
1048,Get me a table at a bar which has a spa .,,,,,,bar,,,,,spa,,,
1049,Please make reservations for a bar  close-by in Lake Alfred .,,close-by,Lake Alfred,,,bar,,,,,,,,
1050,I need a reservation for Roscoff Restaurant in Valley Mills,,,Valley Mills,,,,Roscoff Restaurant,,,,,,,
1051,I need a table at a brasserie in Belgium,,,,,Belgium,brasserie,,,,,,,,
1052,I want to book at a pub with parking in Cuba .,,,,,Cuba,pub,,,,,parking,,,
1053,book a table for 4 at Fish Express,,,,,,,Fish Express,,,,,,,4
1054,"I'd like to eat at a top-rated place on nov. the twenty-sixth in the food court , I need reservations for 7 in the city of Kane or somewhere near there.",,near,Kane,nov. the twenty-sixth,,food court,,top-rated,,,,,,7
1055,Book me a table for seven in neighboring  France .,,neighboring,,,France,,,,,,,,,seven
1056,book in Falkland Islands at Atomic Cafe,,,,,Falkland Islands,,Atomic Cafe,,,,,,,
1057,I want to take four friends to the pub for some tuna casserole,tuna casserole,,,,,pub,,,,,,,,four
1058,I need a reservation in Decaturville for six people.,,,Decaturville,,,,,,,,,,,six
1059,Book me a reservation for eight for the top-rated  bakery  eleven hours from now in Mango,,,Mango,eleven hours from now,,bakery,,top-rated,,,,,,eight
1060,book a spot for ten at a restaurant with a spa in U.S. Minor Outlying Islands,,,,,U.S. Minor Outlying Islands,restaurant,,,,,spa,,,ten
1061,Book a reservation for seven people at a highly rated  restaurant that serves moroccan food in East Greenville,,,East Greenville,,,restaurant,,highly rated,moroccan,,,,,seven
1062,Book the Light Horse Tavern for 4 people.,,,,,,,Light Horse Tavern,,,,,,,4
1063,book a table in UT at Kearney for 6,,,Kearney,,,,,,,,,,UT,6
1064,book a table at a restaurant in Lucerne Valley that serves chicken nugget,chicken nugget,,Lucerne Valley,,,restaurant,,,,,,,,
1065,me and deanna want to book a restaurant in Malawi,,,,,Malawi,restaurant,,,,me and deanna,,,,
1066,"Book a food truck that serves tarte for tanisha, lorena and juliana .",tarte,,,,,food truck,,,,"tanisha, lorena and juliana",,,,
1067,"christie, concepcion and I want to eat trattoria at a brasserie in Johnston  now",,,Johnston,now,,brasserie,,,trattoria,"christie, concepcion and I",,,,
1068,book in one hour  within walking distance of a restaurant  downtown,,within walking distance,,in one hour,,restaurant,,,,,,downtown,,
1069,I need to book a top-rated  steakhouse  this Autumn for 1  around  Azerbaijan,,around,,this Autumn,Azerbaijan,steakhouse,,top-rated,,,,,,1
1070,book in Romania for christian and susana at David Carpenter House,,,,,Romania,,David Carpenter House,,,christian and susana,,,,
1071,book in Ukraine at a highly rated  restaurant,,,,,Ukraine,restaurant,,highly rated,,,,,,
1072,Let me get reservations at a place neighboring  Indonesia on August the nineteenth .,,neighboring,,August the nineteenth,Indonesia,,,,,,,,,
1073,I'd like to book a reservation for next Spring for nine people at Shore Club .,,,,next Spring,,,Shore Club,,,,,,,nine
1074,"Book the Chapter One in Bosnia and Herzegovina for patti, hester richardson and camille",,,,,Bosnia and Herzegovina,,Chapter One,,,"patti, hester richardson and camille",,,,
1075,Book me a restaurant  ten minutes from now,,,,ten minutes from now,,restaurant,,,,,,,,
1076,I need a reservation for a tea house in Maple Glen for four people,,,Maple Glen,,,tea house,,,,,,,,four
1077,I'd like to eat at ten PM. anywhere neighboring to our house,,neighboring,,ten PM.,,,,,,,,our house,,
1078,Book a table for seven people at a restaurant which has internet .,,,,,,restaurant,,,,,internet,,,seven
1079,"Book a table for 6 at a restaurant in Pershing Square, Manhattan at two am",,,,two am,,restaurant,"Pershing Square, Manhattan",,,,,,,6
1080,"Book a restaurant in Nebraska on january 25, 2034 for me and my mommy .",,,,"january 25, 2034",,restaurant,,,,me and my mommy,,,Nebraska,
1081,book a restaurant table at the food court in the spa  sixteen hours from now,,,,sixteen hours from now,,food court,,,,,spa,,,
1082,Book me a table for one at Blue Ribbon Barbecue,,,,,,,Blue Ribbon Barbecue,,,,,,,one
1083,Book a highly rated  food court for 2 people on jul. 4th .,,,,jul. 4th,,food court,,highly rated,,,,,,2
1084,"Locate a bakery in Rockport , Federated States Of Micronesia that serves olives",olives,,Rockport,,,bakery,,,,,,,Federated States Of Micronesia,
1085,"Book a table for my great grandfather and I at a place in Booker , AK .",,,Booker,,,,,,,my great grandfather and I,,,AK,
1086,book a table at Anstruther Fish Bar in FM,,,,,,,Anstruther Fish Bar,,,,,,FM,
1087,Please make a reservation at ten at a bakery which serves burrito .,burrito,,,,,bakery,,,,,,,,ten
1088,Book the Labworth CafÃ© in Ethiopia for six people.,,,,,Ethiopia,,Labworth CafÃ©,,,,,,,six
1089,I have a party of 7 in East Timor,,,,,East Timor,,,,,,,,,7
1090,I need a table for 1 minute from now at any pub for five  around  IN that also serves fisn'n chips .,fisn'n chips,around,,1 minute from now,,pub,,,,,,,IN,five
1091,book a best  tavern for nine,,,,,,tavern,,best,,,,,,nine
1092,me and aisha and craving cordon bleu and need to book a table at a brasserie .,cordon bleu,,,,,brasserie,,,,me and aisha,,,,
1093,evangeline and petra cooper want to go to a restaurant  in 9 years ,,,,in 9 years,,restaurant,,,,evangeline and petra cooper,,,,
1094,Table for one somewhere in Palco,,,Palco,,,,,,,,,,,one
1095,I need to book a restaurant at four o'clock for 4,,,,four o'clock,,restaurant,,,,,,,,4
1096,Lets go to a steakhouse before we go to the pool,,,,we,,steakhouse,,,,,pool,,,
1097,"Book a table for iris, ina and heidi around 9 pm .",,,,9 pm,,,,,,"iris, ina and heidi",,,,
1098,I need a reservation in Pitcairn Islands for any restaurant  joint,,,,,Pitcairn Islands,restaurant  joint,,,,,,,,
1099,Book something for me and my wife at a restaurant  in four weeks,,,,in four weeks,,restaurant,,,,me and my wife,,,,
1100,Need a table in Serbia and Montenegro on Apr. 16 for a party of seven,,,,Apr. 16,Serbia and Montenegro,,,,,,,,,seven
1101,Book a steakhouse with a spa for seven people.,,,,,,steakhouse,,,,,spa,,,seven
1102,I need seats for six at a vegan  bar in London Borough of Enfield or the same distant  in one second,vegan,same distant,,in one second,,bar,,,,,,London Borough of Enfield,,six
1103,Book a table at a diner which serves thousand island dressing in Ivory Coast .,thousand island dressing,,,,Ivory Coast,diner,,,,,,,,
1104,I need a booking for seven people at Metropolitan Museum of Art .,,,,,,,Metropolitan Museum of Art,,,,,,,seven
1105,Book a reservation for four at the best  brasserie in Venezuela,,,,,Venezuela,brasserie,,best,,,,,,four
1106,Book a table for 1 person at a popular  brasserie in Jansen that serves english food,,,Jansen,,,brasserie,,popular,english,,,,,1
1107,I need a reservation for eight for a brasserie that serves spanish rice,spanish rice,,,,,brasserie,,,,,,,,eight
1108,"Book reservations at a restaurant in NE for 4 people on apr. 2, 2021",,,,"apr. 2, 2021",,restaurant,,,,,,,NE,4
1109,book a gratin serving tea house in Bushkill,gratin,,Bushkill,,,tea house,,,,,,,,
1110,Book a restaurant that serves bouchÃ©e for midnight .,bouchÃ©e,,,midnight,,restaurant,,,,,,,,
1111,Book a restaurant for 7 people.,,,,,,restaurant,,,,,,,,7
1112,party of two for a food truck on december 22 that serves chicken french in Bolivia,chicken french,,,december 22,Bolivia,food truck,,,,,,,,two
1113,"book a spot for marlene, jordan and I on oct. the 6th",,,,oct. the 6th,,,,,,"marlene, jordan and I",,,,
1114,book a restaurant that serves trottole in Tillicum,trottole,,Tillicum,,,restaurant,,,,,,,,
1115,I'd like to book the best  restaurant in AS .,,,,,,restaurant,,best,,,,,AS,
1116,book a spot for 10  in the same area of Inwood - 207th St,,in the same area,,,,,,,,,,Inwood - 207th St,,10
1117,"I need to book a restaurant in Burkettsville  in 2 years for rhoda adams, roxanne and I",,,Burkettsville,in 2 years,,restaurant,,,,"rhoda adams, roxanne and I",,,,
1118,Need a table at a fast food restaurant for me and my kids in Brusly Landing,,,Brusly Landing,,,fast food restaurant,,,,me and my kids,,,,
1119,I need a table for nine in Atlas  in 1 second,,,Atlas,in 1 second,,,,,,,,,,nine
1120,Book a restaurant  distant from downtown .,,distant,,,,restaurant,,,,,,downtown,,
1121,I want to bring four people to a place that's close to downtown that serves churrascaria cuisine.,,close,,,,churrascaria,,,,,,downtown,,four
1122,in Delanson  1 hour from now reserve a table for four,,,Delanson,1 hour from now,,,,,,,,,,four
1123,Find me a table at a delicatessen in Urbanette that serves rabbit pie,rabbit pie,,Urbanette,,,delicatessen,,,,,,,,
1124,Book a restaurant in WI at 13:22:34 for 9 people.,,,,13:22:34,,restaurant,,,,,,,WI,9
1125,Please make reservations for three at a kosher  taverna  nearby  our secondary residence ,,nearby,,,,taverna,,,kosher,,,our secondary residence,,three
1126,"Book a restaurant in Indiana for me, violet and dianne .",,,,,,restaurant,,,,"me, violet and dianne",,,Indiana,
1127,book a restaurant  close to Grant Av,,close,,,,restaurant,,,,,,Grant Av,,
1128,Book reservation for 2 people tomorrow in Whitewater,,,Whitewater,tomorrow,,,,,,,,,,2
1129,I need a table for 8 people at a restaurant in District Of Columbia .,,,,,,restaurant,,,,,,,District Of Columbia,8
1130,book a table for ten people,,,,,,,,,,,,,,ten
1131,Book a restaurant for 9 at 00:37 PM,,,,00:37 PM,,restaurant,,,,,,,,9
1132,Book a restaurant in Botswana for seven people.,,,,,Botswana,restaurant,,,,,,,,seven
1133,Book Georgetown Cupcake in Keller for tea time.,,,Keller,tea,,,Georgetown Cupcake,,,,,,,
1134,"Book a restaurant for marcella, erma and leanne rivera .",,,,,,restaurant,,,,"marcella, erma and leanne rivera",,,,
1135,I would like to make a reservation for 2 for brunch .,,,,brunch,,,,,,,,,,2
1136,Book a table for me and my crew scheduled for 10:47:15 pm in IL .,,,,10:47:15 pm,,,,,,me and my crew,,,IL,
1137,I'd like to go to the popular  bistro in OH,,,,,,bistro,,popular,,,,,OH,
1138,Please book a bar type goiano room accommodate for 2 members 1 second from now in PR,,,,1 second from now,,bar,,,goiano,,,,PR,2
1139,I'm looking to get a seat at a brasserie in Togo .,,,,,Togo,brasserie,,,,,,,,
1140,Book me a table at a Tartinery Restaurant  not far from my home in Elk Rapids .,,not far,Elk Rapids,,,,Tartinery Restaurant,,,,,home,,
1141,"book a brasserie at Turtle Creek  neighboring on march sixth, 2038 for eight",,neighboring,,"march sixth, 2038",,brasserie,,,,,,Turtle Creek,,eight
1142,Book a maharashtrian  restaurant please.,,,,,,restaurant,,,maharashtrian,,,,,
1143,Book a table for five in Unalaska  this month .,,,Unalaska,this month,,,,,,,,,,five
1144,"My party of 3 would really like to eat baba au rhum at a brasserie , could you help?",baba au rhum,,,,,brasserie,,,,,,,,3
1145,I want to book a restaurant  now in Ludlow for eight,,,Ludlow,now,,restaurant,,,,,,,,eight
1146,I want to book a pub in MS that serves festoni,festoni,,,,,pub,,,,,,,MS,
1147,book a cafe in Romania,,,,,Romania,cafe,,,,,,,,
1148,I want to take my parents and I to eat some romagna at a brasserie in North Dakota,,,,,,brasserie,,,romagna,my parents and I,,,North Dakota,
1149,"Book a table for 1 , 1 second from now in Adelaide",,,Adelaide,1 second from now,,,,,,,,,,1
1150,in one hundred twenty seven days I'd like to eat at a pizzeria in North Lima,,,North Lima,in one hundred twenty seven days,,pizzeria,,,,,,,,
1151,Book a brasserie in Cuney for seven people.,,,Cuney,,,brasserie,,,,,,,,seven
1152,"Book me a table for seven in Co-operative Block Building , ND .",,,,,,,Co-operative Block Building,,,,,,ND,seven
1153,I'd like to eat surf and turf  in one minute at a bar,surf and turf,,,in one minute,,bar,,,,,,,,
1154,I want to take my mom and I to the tea house,,,,,,tea house,,,,my mom and I,,,,
1155,I want to book a highly rated  pizzeria  in the same area as tia's house,,in the same area,,,,pizzeria,,highly rated,,,,tia's house,,
1156,I need a table at The Middle East in MN for a party of 6,,,,,,,The Middle East,,,,,,MN,6
1157,book me a restaurant at Sint Maarten on sun .,,,,sun,Sint Maarten,restaurant,,,,,,,,
1158,Book a restaurant in Three Points,,,Three Points,,,restaurant,,,,,,,,
1159,I want a table for 2 at a Portugal  restaurant,,,,,Portugal,restaurant,,,,,,,,2
1160,I'd like to eat at an internet  restaurant with a party of four,,,,,,restaurant,,,,,internet,,,four
1161,I would like to book a bistro for 7,,,,,,bistro,,,,,,,,7
1162,I'd like to eat at a restaurant in MD with a party of 8,,,,,,restaurant,,,,,,,MD,8
1163,Find a reservation for 2 at a restaurant for pizza,pizza,,,,,restaurant,,,,,,,,2
1164,I want to book a restaurant in Bosnia and Herzegovina .,,,,,Bosnia and Herzegovina,restaurant,,,,,,,,
1165,Need a booking for a party of five at a restaurant in French Polynesia,,,,,French Polynesia,restaurant,,,,,,,,five
1166,Book reservation at The Big Chill Cafe in AR for 10 people,,,,,,,The Big Chill Cafe,,,,,,AR,10
1167,Make me reservations for a highly rated  restaurant .,,,,,,restaurant,,highly rated,,,,,,
1168,book a restaurant for my baby and I in Delaware,,,,,,restaurant,,,,my baby and I,,,Delaware,
1169,Book a table at the top-rated  taverna in North Korea .,,,,,North Korea,taverna,,top-rated,,,,,,
1170,Book reservations at a restaurant in Jersey for six people next October,,,,next October,Jersey,restaurant,,,,,,,,six
1171,book a cafe table for one that has internet access,,,,,,cafe,,,,,internet,,,one
1172,I'd like to eat at a restaurant  far from Grantsburg,,far,Grantsburg,,,restaurant,,,,,,,,
1173,"Book a table at a tavern in Albania for annette, darlene and barbara james for ten AM",,,,ten AM,Albania,tavern,,,,"annette, darlene and barbara james",,,,
1174,Book a restaurant in Swaziland  in 1 hour .,,,,in 1 hour,Swaziland,restaurant,,,,,,,,
1175,"Book me a reservation for an osteria  campanian on Jun. the 7th, 2022",,,,"Jun. the 7th, 2022",,osteria,,,campanian,,,,,
1176,Book a reservation for me and my step sister in Nebraska  in two seconds,,,,in two seconds,,,,,,me and my step sister,,,Nebraska,
1177,Book the Coon Chicken Inn in Baker City for 4 people.,,,Baker City,,,,Coon Chicken Inn,,,,,,,4
1178,"book a restaurant in French Southern Territories on dec. the fifth, 2026 for two",,,,"dec. the fifth, 2026",French Southern Territories,restaurant,,,,,,,,two
1179,Book me a reservation for 10 in Oman,,,,,Oman,,,,,,,,,10
1180,Book a restaurant for nine in South Sudan .,,,,,South Sudan,restaurant,,,,,,,,nine
1181,Book reservations at a restaurant in Iron Springs,,,Iron Springs,,,restaurant,,,,,,,,
1182,"Please make me reservations somewhere for eight people in Foley , NV",,,Foley,,,,,,,,,,NV,eight
1183,table for 5 AM . at Bakerâs Keyboard Lounge,,,,5 AM,,,Bakerâs Keyboard Lounge,,,,,,,
1184,I want to eat mezes at the pub for 1 at four PM,mezes,,,four PM,,pub,,,,,,,,1
1185,I'm looking for a table of eight at The Alley .,,,,,,,The Alley,,,,,,,eight
1186,I need a table for five in Viroqua,,,Viroqua,,,,,,,,,,,five
1187,Book a russian  restaurant for 4 people.,,,,,,restaurant,,,russian,,,,,4
1188,Book a bakery that serves souvlaki for tomorrow .,souvlaki,,,tomorrow,,bakery,,,,,,,,
1189,Find me a table at a javanese  brasserie,,,,,,brasserie,,,javanese,,,,,
1190,We want to eat at a brasserie with sicilian food in Nebraska,,,,,,brasserie,,,sicilian,,,,Nebraska,
1191,book a table for now for 4 for an oyster bar,,,,now,,oyster bar,,,,,,,,4
1192,I need a table for 2 on feb. 18 at Main Deli Steak House,,,,feb. 18,,,Main Deli Steak House,,,,,,,2
1193,I'd like to get 4 seats at a restaurant .,,,,,,restaurant,,,,,,,,4
1194,Asiate  restaurant in Sturgeon for 7,,,Sturgeon,,,restaurant,Asiate,,,,,,,7
1195,restaurant in Zambia that is close for a party of 10,,close,,,Zambia,restaurant,,,,,,,,10
1196, restaurant that is brasserie for 8 and has wifi,,,,,,brasserie,,,,,wifi,,,8
1197,I want eat at the best  spanish  restaurant in the Georgia  area that is within walking distance for me and my nephew at noon,,within walking distance,,noon,,restaurant,,best,spanish,me and my nephew,,,Georgia,
1198,book rosalie stewart and evelyn at a restaurant,,,,,,restaurant,,,,rosalie stewart and evelyn,,,,
1199,book a table for 0 pm in Fayette for rachael morris and shannon  near there,,near,Fayette,0 pm,,,,,,rachael morris and shannon,,,,
1200,I need a table for one,,,,,,,,,,,,,,one
1201,"book a spot for nona gray, myrtle and alison at a top-rated  brasserie that is distant from Wilson Av on Nov. the 4th, 2030 that serves ouzeri",,distant,,"Nov. the 4th, 2030",,brasserie,,top-rated,ouzeri,"nona gray, myrtle and alison",,Wilson Av,,
1202,Book the Ballylickey House for 7/16/2027 .,,,,7/16/2027,,,Ballylickey House,,,,,,,
1203,book an outdoor place for 11/1/2033  in town  within walking distance of a brasserie for nine,,within walking distance,,11/1/2033,,brasserie,,,,,outdoor,in town,,nine
1204,I need a reservation for a restaurant that serves cupcakes in OH,cupcakes,,,,,restaurant,,,,,,,OH,
1205,I'd like a table for 3 at a tavern in the Vatican,,,,,Vatican,tavern,,,,,,,,3
1206,I want a table for 5  next fall om Curacao,,,,next fall,Curacao,,,,,,,,,5
1207,book a table at a restaurant for 10/24/2028 for me and lauren,,,,10/24/2028,,restaurant,,,,me and lauren,,,,
1208,need a table at Uncommon Grounds Coffeehouse at eleven for nine,,,,eleven,,,Uncommon Grounds Coffeehouse,,,,,,,nine
1209,I need a reservation for The French Laundry in OH for six,,,,,,,The French Laundry,,,,,,OH,six
1210,I'd like a table for two at a brasserie in SÃ£o TomÃ© and PrÃ­ncipe,,,,,SÃ£o TomÃ© and PrÃ­ncipe,brasserie,,,,,,,,two
1211,Reservea  table for five people on september second in Gabon .,,,,september second,Gabon,,,,,,,,,five
1212,Book reservations at a nearby  restaurant in Montenegro for four people,,nearby,,,Montenegro,restaurant,,,,,,,,four
1213,Book me a reservation for The Brazen Head in Hecker,,,Hecker,,,,The Brazen Head,,,,,,,
1214,book a molecular gastronomy serving restaurant on march the 20th,molecular gastronomy,,,march the 20th,,restaurant,,,,,,,,
1215,Book a spot for seven at a japanese  joint in Grandview Heights,,,Grandview Heights,,,joint,,,japanese,,,,,seven
1216,Book me a tibetan  restaurant for my boss and I .,,,,,,restaurant,,,tibetan,my boss and I,,,,
1217,book a bar  close by with a smoking room in MA,,close by,,,,bar,,,,,smoking room,,MA,
1218,Can you make reservations for 1 person in IL,,,,,,,,,,,,,IL,1
1219,Book the Dunbrody Country House Hotel in NE for 8 people.,,,,,,,Dunbrody Country House Hotel,,,,,,NE,8
1220,Find a table for one at a popular  churrascaria for three weeks from now,,,,three weeks from now,,churrascaria,,popular,,,,,,one
1221,"Make me a reservation at Illinois Central Railroad Freight Depot in Singapore with vickie rodriguez, lila reyes and ruby",,,,,Singapore,,Illinois Central Railroad Freight Depot,,,"vickie rodriguez, lila reyes and ruby",,,,
1222,"I'd like a table for natasha, bettye and kimberley at a coffeehouse with a smoking room",,,,,,coffeehouse,,,,"natasha, bettye and kimberley",smoking room,,,
1223,"book tortano serving brasserie for me, isabella and carly in Kuwait",tortano,,,,Kuwait,brasserie,,,,"me, isabella and carly",,,,
1224,Book me a table for 2  in 6 years at a restaurant that serves potÃ©e,potÃ©e,,,in 6 years,,restaurant,,,,,,,,2
1225,Make a reservation far away at The Spotted Pig in SD .,,far,,,,,The Spotted Pig,,,,,,SD,
1226,I want to go to an outdoor  cafe in Pioneer Day,,,,Pioneer Day,,cafe,,,,,outdoor,,,
1227,I want to book a table for me and my boss at Glassy Junction in Turkey .,,,,,Turkey,,Glassy Junction,,,me and my boss,,,,
1228,I need to book a pub in Cammack Village  Wyoming for a party of seven,,,Cammack Village,,,pub,,,,,,,Wyoming,seven
1229,"Book something for darlene, tessa and maxine at a restaurant for 09:58:27",,,,09:58:27,,restaurant,,,,"darlene, tessa and maxine",,,,
1230,Make me a reservation at taverna in a smoking room,,,,,,taverna,,,,,smoking room,,,
1231,casey and I will be in Kentucky for food,,,,,,,,,,casey and I,,,Kentucky,
1232,book a spot for 1 at a bakery with crab cake  not far from New Jersey,crab cake,not far,,,,bakery,,,,,,,New Jersey,1
1233,Book a table for 7 at a popular  bistro  distant from Kremmling,,distant,Kremmling,,,bistro,,popular,,,,,,7
1234,Book a table for 5 at a pub during my Macedonia trip that serves czech food.,,,,,Macedonia,pub,,,czech,,,,,5
1235,Book me seating at a popular  joint for Sep. the 10th,,,,Sep. the 10th,,joint,,popular,,,,,,
1236,I'd like a table for six at the bakery in AS,,,,,,bakery,,,,,,,AS,six
1237,Book a restaurant  in town  not far from here for me and my mother in law .,,not far,,,,restaurant,,,,me and my mother in law,,in town,,
1238,I need reservations for a party of 8  within the same area at 01:48:35 at a restaurant in Armenia that serves tuscan cuisine.,,within the same area,,01:48:35,Armenia,restaurant,,,tuscan,,,,,8
1239,book some indonesian  food truck food that is not far for a party of 8 in IA,,not far,,,,food truck,,,indonesian,,,,IA,8
1240,"Make a reservation at a diner which serves chowder in MT for august the 17th, 2024 .",chowder,,,"august the 17th, 2024",,diner,,,,,,,MT,
1241,"I need a table at Light Horse Tavern in City of the Dalles  NH for kathleen, brianna and I",,,City of the Dalles,,,,Light Horse Tavern,,,"kathleen, brianna and I",,,NH,
1242,I need seats for five at a place five and a half months from now,,,,five and a half months from now,,,,,,,,,,five
1243,Book a pub for eight people in the Pitcairn Islands .,,,,,Pitcairn Islands,pub,,,,,,,,eight
1244,I need a table for a party of 2 at Co-operative Block Building in Old Glory,,,Old Glory,,,,Co-operative Block Building,,,,,,,2
1245,I want Jean-Georges for a party of 2,,,,,,,Jean-Georges,,,,,,,2
1246,Reserve me seating midday at Bear Hotel,,,,midday,,,Bear Hotel,,,,,,,
1247,Book a restaurant  near the City of Wakefield for 5 people.,,near,,,,restaurant,,,,,,City of Wakefield,,5
1248,Book a table for two in Oklahoma,,,,,,,,,,,,,Oklahoma,two
1249,book me a restaurant in Guadeloupe,,,,,Guadeloupe,restaurant,,,,,,,,
1250,Find me a table for 8 people at a nearby  AL  restaurant  one minute from now .,,nearby,,one minute from now,,restaurant,,,,,,,AL,8
1251,"book in West Palm Beach for glenda, lois and tamra at a nearby  restaurant serving puglia",,nearby,West Palm Beach,,,restaurant,,,puglia,"glenda, lois and tamra",,,,
1252,I need a table at a restaurant in Ireland serving kouglof,kouglof,,,,Ireland,restaurant,,,,,,,,
1253,"Find me a bar in Eagle Pass , Vermont that serves noodle dishes, that will take reservations for 2/21/2021 .",noodle,,Eagle Pass,2/21/2021,,bar,,,,,,,Vermont,
1254,"Book a table for ida, monica and etta at Cold Spring Tavern in MD",,,,,,,Cold Spring Tavern,,,"ida, monica and etta",,,MD,
