,text,year,playlist,music_item,sort,artist,service,genre,track,album
740,Play Clay Aiken 's The Bonny Hind on Groove Shark .,,,,,Clay Aiken,Groove Shark,,The Bonny Hind,
741,Play a song from Helena Iren Michaelsen on Spotify,,,song,,Helena Iren Michaelsen,Spotify,,,
742,Play thirties music by Flex on Google Music,thirties,,,,Flex,Google Music,,,
743,Play the good sort of 1992  theme music by Layzie Bone,1992,,theme,good,Layzie Bone,,,,
744,Play the last  soundtrack from the sixties,sixties,,soundtrack,last,,,,,
745,Play the latest  ep from Lobby Loyde on Netflix,,,ep,latest,Lobby Loyde,Netflix,,,
746,Play some Dave Pearce .,,,,,Dave Pearce,,,,
747,play track  Her Majesty,,,track,,,,,Her Majesty,
748,I want to hear the newest music from The Railway Children,,,,newest,The Railway Children,,,,
749,Play Short Walk On A Long Pier on Slacker,,,,,,Slacker,,,Short Walk On A Long Pier
750,I want to hear Vegetables by pharrell williams,,,,,pharrell williams,,,Vegetables,
751,Play the album  Making Evening And Night by Cevin Key ,,,album,,Cevin Key,,,,Making Evening And Night
752,Create a theme station with Jim Creeggan records and collabs,,,theme,,Jim Creeggan,,,,
753,Open Pandora and play Reggaeton 2017 y Baila !,,Reggaeton 2017 y Baila,,,,Pandora,,,
754,Play a Martyn Bennett from 1957 on Pandora,1957,,,,Martyn Bennett,Pandora,,,
755,Play the Mother Lode by Tamio Okuda,,,,,Tamio Okuda,,,,Mother Lode
756,Play the top  melody from artist Maakii,,,melody,top,Maakii,,,,
757,Play any album from the twenties,twenties,,album,,,,,,
758,Play me a song on Pandora,,,song,,,Pandora,,,
759,Play me a song by Stephen Jones,,,song,,Stephen Jones,,,,
760,Play a 1998  sound track from Sam The Kid on Last Fm,1998,,sound track,,Sam The Kid,Last Fm,,,
761,Play an ep by Uncle Jimmy Thompson,,,ep,,Uncle Jimmy Thompson,,,,
762,Play some Game music.,,,,,,,Game,,
763,Play music from 2012 on Netflix .,2012,,,,,Netflix,,,
764,I want to hear a good  song from 2016,2016,,song,good,,,,,
765,Play the playlist Gypsy Swing,,Gypsy Swing,,,,,,,
766,play some grunge,,,,,,,grunge,,
767,Play some Sam Moore .,,,,,Sam Moore,,,,
768,play Mikazuki Sunset,,,,,,,,Mikazuki Sunset,
769,Play music on itunes from artist Jessica Delfino,,,,,Jessica Delfino,itunes,,,
770,open Deezer and search for Scott Miller and play some of his new songs,,,,new,Scott Miller,Deezer,,,
771,play Peja tunes,,,,,Peja,,,,
772,Play a Wendy Carlos  song from 2002,2002,,song,,Wendy Carlos,,,,
773,Play a new  song form the eighties,eighties,,song,new,,,,,
774,Play the track titled Faget,,,track,,,,,Faget,
775,Play the top  song by Jack Grisham,,,song,top,Jack Grisham,,,,
776,Please play Jag Vill Leva I Europa by porta,,,,,porta,,,Jag Vill Leva I Europa,
777,Want to hear a chant by Nellie Mckay from the year 2008,2008,,chant,,Nellie Mckay,,,,
778,Play the top-ten  chant  Doda songs from the twenties .,twenties,,chant,top-ten,Doda,,,,
779,Play sound track music from the twenties,twenties,,sound track,,,,,,
780,Play some Carmen Mcrae from Ed Robertson off of Itunes,,,,,Ed Robertson,Itunes,,,Carmen Mcrae
781,play a song by Fats Waller,,,song,,Fats Waller,,,,
782,I'd like to listen to Diana Vickers  best  tune from the twenties,twenties,,tune,best,Diana Vickers,,,,
783,Can you play any chant from the fourties ?,fourties,,chant,,,,,,
784,Play some music by Daniel Carter,,,,,Daniel Carter,,,,
785,Play twenties on Groove Shark,twenties,,,,,Groove Shark,,,
786,Play twenties  symphony from Robert Walter,twenties,,symphony,,Robert Walter,,,,
787,Can you play a sonata,,,,,,,sonata,,
788,Let's listen to the most popular  Marty Friedman songs on Zvooq .,,,,most popular,Marty Friedman,Zvooq,,,
789,Play an album from the fourties,fourties,,album,,,,,,
790,Play me a Xuefei Yang  symphony on Groove Shark,,,symphony,,Xuefei Yang,Groove Shark,,,
791,play soem nineties  Charles Thompson,nineties,,,,Charles Thompson,,,,
792,Play some dance music,,,,,,,dance,,
793,Let's hear some tunes from the thirties .,thirties,,,,,,,,
794,Play the seventies  album on last fm,seventies,,album,,,last fm,,,
795,Play music from Lastfm and Deezer .,,,,,,Deezer,,,
796,play TÃ© Para Tres,,TÃ© Para Tres,,,,,,,
797,Play artist stu davis from the album  Dub Chamber 3 on Netflix,,,album,,stu davis,Netflix,,,Dub Chamber 3
798,Play music by Ian Haugland,,,,,Ian Haugland,,,,
799,Play some Drum & Bass,,,,,,,Drum & Bass,,
800,play a symphonic rock on Pandora,,,,,,Pandora,symphonic rock,,
801,Play the last  theme by Behzad Mirkhani .,,,theme,last,Behzad Mirkhani,,,,
802,Open Netflix and play David Frizzell,,,,,David Frizzell,Netflix,,,
803,Can you play Crossover ?,,,,,,,Crossover,,
804,Plya a tune by Kancherla Gopanna from 1951 on Zvooq,1951,,tune,,Kancherla Gopanna,Zvooq,,,
805,Play some fourties music on Spotify .,fourties,,,,,Spotify,,,
806,play the album  Everybody Happy by Lee Aaron,,,album,,Lee Aaron,,,,Everybody Happy
807,Play the theme music from 1963 by Yuki Koyanagi,1963,,theme,,Yuki Koyanagi,,,,
808,play Groove Shark  folk-rock,,,,,,Groove Shark,folk-rock,,
809,play the album  How Insensitive,,,album,,,,,,How Insensitive
810,play some Classical music on Spotify,,,,,,Spotify,Classical,,
811,Play Used To Love Her by Dara .,,,,,Dara,,,Used To Love Her,
812,Play me a twenties  tune on Deezer,twenties,,tune,,,Deezer,,,
813,play music by Cass Elliot,,,,,Cass Elliot,,,,
814,Play concerto from the eighties,eighties,,concerto,,,,,,
815,Play On My Own,,,,,,,,On My Own,
816,Play Nick Hexum  latest  album,,,album,latest,Nick Hexum,,,,
817,Play me a twenties  song,twenties,,song,,,,,,
818,play a ballad from 2000,2000,,ballad,,,,,,
819,Play the sound track by Ferry Corsten,,,sound track,,Ferry Corsten,,,,
820,Play a 2009  concerto on Deezer .,2009,,concerto,,,Deezer,,,
821,Play me some Max Martin on Lastfm,,,,,Max Martin,Lastfm,,,
822,play some Sia Furler on Last Fm,,,,,Sia Furler,Last Fm,,,
823,Play the thirties  soundtrack by ghader abdollahzadeh on Youtube,thirties,,soundtrack,,ghader abdollahzadeh,Youtube,,,
824,play Say A Word by La India,,,,,La India,,,Say A Word,
825,Play me a fifties  song by Chingy,fifties,,song,,Chingy,,,,
826,Play music from Paul Landers,,,,,Paul Landers,,,,
827,Play Taiwan Is Good by Kotoko .,,,,,Kotoko,,,Taiwan Is Good,
828,I'm in the mood to listen to meditative music.,,,,,,,meditative,,
829,Play Hughie Graham by Vidyadhar Vyas,,,,,Vidyadhar Vyas,,,Hughie Graham,
830,Give me an album from 1972 to listen to.,1972,,album,,,,,,
831,Play some 1962  theme music.,1962,,theme,,,,,,
832,Play NoctÃ¡mbulo playlist,,NoctÃ¡mbulo,,,,,,,
833,Play Annet Artani  soundtrack on Slacker,,,soundtrack,,Annet Artani,Slacker,,,
834,play the track  The Wizard And I,,,track,,,,,The Wizard And I,
835,Play Crossroad Blues .,,Crossroad Blues,,,,,,,
836,Play some amber kuo from the eighties on Spotify .,eighties,,,,amber kuo,Spotify,,,
837,I need to hear some music from Spotify,,,,,,Spotify,,,
838,Play some sister rosetta tharpe songs from the eighties,eighties,,,,sister rosetta tharpe,,,,
839,Play on spotify  Ms Scandalous,,,,,Ms Scandalous,spotify,,,
840,Play a twenties  tune by Jodie Aysha .,twenties,,tune,,Jodie Aysha,,,,
841,play Addicted To You by Hank Ballard,,,,,Hank Ballard,,,Addicted To You,
842,Play Tooh by Eric Bazilian on Google Music .,,,,,Eric Bazilian,Google Music,,Tooh,
843,Play music by Keren Woodward,,,,,Keren Woodward,,,,
844,Play music by Paulinho Da Viola from 1965,1965,,,,Paulinho Da Viola,,,,
845,Play Sergei Anatoljewitsch Kurjochin 's music on Groove Shark .,,,,,Sergei Anatoljewitsch Kurjochin,Groove Shark,,,
846,Play the song  Little Robin Redbreast,,,song,,,,,Little Robin Redbreast,
847,Play music from the artist Irma Pane,,,,,Irma Pane,,,,
848,Play an Andy Silvester  sound track from the thirties on Spotify,thirties,,sound track,,Andy Silvester,Spotify,,,
849,Play the music of Tupac Shakur,,,,,Tupac Shakur,,,,
850,Play anything from the top-50  Jeff Irwin  record off of itunes,,,record,top-50,Jeff Irwin,itunes,,,
851,Play Tina Cousins from 1956,1956,,,,Tina Cousins,,,,
852,Play the music genre Synthpop,,,,,,,Synthpop,,
853,Play me songs from 1955,1955,,,,,,,,
854,Use itunes to play dancing playlist,,dancing,,,,itunes,,,
855,Play movement music by Monk Boudreaux on youtube,,,movement,,Monk Boudreaux,youtube,,,
856,Play the best  Bruce Ruffin music on Youtube .,,,,best,Bruce Ruffin,Youtube,,,
857,Play some showtunes music.,,,,,,,showtunes,,
858,play music from 2014,2014,,,,,,,,
859,play There Must Be More To Life Than This,,,,,,,,There Must Be More To Life Than This,
860,Play Suite Sudarmoricaine by Afi on itunes,,,,,Afi,itunes,,Suite Sudarmoricaine,
861,play the top-twenty  margaret becker songs with google music,,,,top-twenty,margaret becker,google music,,,
862,Play the new music from Wilko Johnson,,,,new,Wilko Johnson,,,,
863,play Iheart tunes by Neil Finn,,,,,Neil Finn,Iheart,,,
864,Play some music on Slacker,,,,,,Slacker,,,
865,Play the album  Shooting Silvio by Dave Sabo,,,album,,Dave Sabo,,,,Shooting Silvio
866,I want to hear music from carman from the 1966  album,1966,,album,,carman,,,,
867,Play my Fusion Fest playlist on Youtube,,Fusion Fest,,,,Youtube,,,
868,Play 2004  Guy Sebastian on Itunes,2004,,,,Guy Sebastian,Itunes,,,
869,Play Vic Ruggiero music from 2007,2007,,,,Vic Ruggiero,,,,
870,Play All The Way My Savior Leads Me on Spotify,,,,,,Spotify,,All The Way My Savior Leads Me,
871,Play some nineties music on Pandora,nineties,,,,,Pandora,,,
872,Play fifties music,fifties,,,,,,,,
873,Play some nineties  Eliza Carthy,nineties,,,,Eliza Carthy,,,,
874,I want to hear sia furler 's popular songs on Last Fm,,,,popular,sia furler,Last Fm,,,
875,Play Seaside by Don Cherry .,,,,,Don Cherry,,,,Seaside
876,Play record from the seventies,seventies,,record,,,,,,
877,Play any chant from 1973,1973,,chant,,,,,,
878,play top tunes by Joseph Utsler,,,,top,Joseph Utsler,,,,
879,play southern rock tunes,,,,,,,southern rock,,
880,Play me some music youtube,,,,,,youtube,,,
881,play Iheart,,,,,,Iheart,,,
882,Play Igor Nikolayev music from the fourties,fourties,,,,Igor Nikolayev,,,,
883,Please play songs by Lil Jon,,,,,Lil Jon,,,,
884,play Victoria Banks 's album,,,album,,Victoria Banks,,,,
885,play a song by Busta Rhymes,,,song,,Busta Rhymes,,,,
886,Play the album  Resurrection In Blood from Sleepy Brown on Itunes .,,,album,,Sleepy Brown,Itunes,,,Resurrection In Blood
887,Play fifties music by Ahmed Abdul Malik,fifties,,,,Ahmed Abdul Malik,,,,
888,Play the greatest  record by Joe Purdy on Google Music,,,record,greatest,Joe Purdy,Google Music,,,
889,play some latin on Zvooq,,,,,,Zvooq,latin,,
890,I want to hear the top 5  Jamie Lidell songs,,,,top 5,Jamie Lidell,,,,
891,I want to hear gothic rock on Lastfm,,,,,,Lastfm,gothic rock,,
892,Play iheart,,,,,,iheart,,,
893,play Wolves by Larry Gatlin,,,,,Larry Gatlin,,,Wolves,
894,Play That Stubborn Kinda Fellow by Michael Amott,,,,,Michael Amott,,,,That Stubborn Kinda Fellow
895,play Long Way To Go by Keita Tachibana,,,,,Keita Tachibana,,,Long Way To Go,
896,Play the most popular  ep by marcel khalife on Netflix,,,ep,most popular,marcel khalife,Netflix,,,
897,Play album from Maureen Mcgovern,,,album,,Maureen Mcgovern,,,,
898,Play music on Deezer .,,,,,,Deezer,,,
899,Play music from 2000 on spotify,2000,,,,,spotify,,,
900,Play the newest  Phil Stacey .,,,,newest,Phil Stacey,,,,
901,Play music on Last Fm,,,,,,Last Fm,,,
902,I'd like to listen to opera on Youtube,,,,,,Youtube,opera,,
903,Play Listen To The Mocking Bird by Billy Martin on Youtube,,,,,Billy Martin,Youtube,,Listen To The Mocking Bird,
904,Can you play me something from the eighties on Youtube,eighties,,,,,Youtube,,,
905,Play Spotify,,,,,,Spotify,,,
906,Play the top-fifty  theme songs by Dennis Brown .,,,theme,top-fifty,Dennis Brown,,,,
907,Play a popular  chant by Brian Epstein,,,chant,popular,Brian Epstein,,,,
908,Play a chant from 1978 .,1978,,chant,,,,,,
909,Play a song off the Nicht Sprechen  album,,,album,,,,,,Nicht Sprechen
910,play Netflix  ballad by Mike Shinoda that is popular,,,ballad,popular,Mike Shinoda,Netflix,,,
911,play Isaac Yamma  Slut,,,,,Isaac Yamma,,,,Slut
912,play Joey Fatone  soundtrack tunes from Google Music from 1972,1972,,soundtrack,,Joey Fatone,Google Music,,,
913,Play music on pandora,,,,,,pandora,,,
914,Play a record from 1950 .,1950,,record,,,,,,
915,I want to the latest  ballad from Ira Losco,,,ballad,latest,Ira Losco,,,,
916,Play music from 1958 .,1958,,,,,,,,
917,Can you play a 1967  soundtrack on Slacker,1967,,soundtrack,,,Slacker,,,
918,Play the last Wellman Braud  album relaesd,,,album,,Wellman Braud,,,,
919,play fifties  movement songs by Fabio on Last Fm,fifties,,movement,,Fabio,Last Fm,,,
920,Play my Under The Surface playlist.,,Under The Surface,,,,,,,
921,play deezer  top 20 by Natasja,,,,top 20,Natasja,deezer,,,
922,play a ballad by Bob Johnston,,,ballad,,Bob Johnston,,,,
923,Play the latest  Joan Baez .,,,,latest,Joan Baez,,,,
924,Play the album  Qr Iii by bobby bare,,,album,,bobby bare,,,,Qr Iii
925,Play Les Pauvres Riches by Pan Mei Chen .,,,,,Pan Mei Chen,,,,Les Pauvres Riches
926,Play some 1987  Edie Brickell .,1987,,,,Edie Brickell,,,,
927,Play my Jazz Brasileiro playlist,,Jazz Brasileiro,,,,,,,
928,I'd like to hear Cry Baby Cry by Ally Kerr .,,,,,Ally Kerr,,,Cry Baby Cry,
929,play a top-twenty  tune by Noor Jehan,,,tune,top-twenty,Noor Jehan,,,,
930,Open Itunes and play Bad Attitude,,,,,,Itunes,,,Bad Attitude
931,Do you have something like Impossible Is Nothing by Abderrahmane Abdelli ?,,,,,Abderrahmane Abdelli,,,Impossible Is Nothing,
932,"Play music from jeremy taylor on the album  Dormi Amore, La Situazione Non Ã Buona on Groove Shark",,,album,,jeremy taylor,Groove Shark,,,"Dormi Amore, La Situazione Non Ã Buona"
933,play caitlin cary from the fourties,fourties,,,,caitlin cary,,,,
934,Play some gothic rock .,,,,,,,gothic rock,,
935,Play some fast fusion on Spotify,,,,,,Spotify,fast fusion,,
936,Play The God That Failed on Vimeo .,,,,,,Vimeo,,The God That Failed,
937,Open up music on Last Fm .,,,,,,Last Fm,,,
938,Play some David Mallett on last fm,,,,,David Mallett,last fm,,,
939,play playlist A Mis NiÃ±os de 30,,A Mis NiÃ±os de 30,,,,,,,
940,Play This Is: Animal Collective please,,This Is: Animal Collective,,,,,,,
941,play the latest  melody from Cliff Edwards on Deezer,,,melody,latest,Cliff Edwards,Deezer,,,
942,play any sixties  song,sixties,,song,,,,,,
943,Play a top-ten  chant by Kelly Groucutt from 1964,1964,,chant,top-ten,Kelly Groucutt,,,,
944,Play Intense Studying playlist on Itunes .,,Intense Studying,,,,Itunes,,,
945,Play some Mf Doom from the sixties on pandora .,sixties,,,,Mf Doom,pandora,,,
946,"Can you play a song off the album , jungle",,,album,,,,,,jungle
947,play a theme from 1985 by Patrick Cowley,1985,,theme,,Patrick Cowley,,,,
948,play songs by Gamble Rogers,,,,,Gamble Rogers,,,,
949,I want to hear theme songs from zeebra from the sixties on Slacker,sixties,,theme,,zeebra,Slacker,,,
950,Play a tune by Layne Staley,,,tune,,Layne Staley,,,,
951,play music by Amii Stewart with Itunes,,,,,Amii Stewart,Itunes,,,
952,Play Tanti Auguri A Te from Bruce Gilbert,,,,,Bruce Gilbert,,,Tanti Auguri A Te,
953,I want to listen to nineties  chant songs,nineties,,chant,,,,,,
954,Play some Paulinho Da Viola from 1965 .,1965,,,,Paulinho Da Viola,,,,
955,"I want to listen to an album sorted by last , open Google Music and play Paulinho Da Viola .",,,album,last,Paulinho Da Viola,Google Music,,,
956,play the greatest  james yorkston  song ,,,song,greatest,james yorkston,,,,
957,I want to hear the Live At Slane Castle  album by Haifa Wehbe,,,album,,Haifa Wehbe,,,,Live At Slane Castle
958,Play symphony music from Joe Dolce,,,symphony,,Joe Dolce,,,,
959,play some twenties  movement tunes from the last  Olga Souza,twenties,,movement,last,Olga Souza,,,,
960,play Dick Marx,,,,,Dick Marx,,,,
961,play The Song Remains The Same with Pandora,,,,,,Pandora,,The Song Remains The Same,
962,Play the newest  chant by John Doyle on Zvooq,,,chant,newest,John Doyle,Zvooq,,,
963,Play Anweshaa by the new first.,,,,new,Anweshaa,,,,
964,Can you play some Andrew Cash music on Slacker,,,,,Andrew Cash,Slacker,,,
965,Play top-50  eighties  theme from Alain Caron,eighties,,theme,top-50,Alain Caron,,,,
966,Play me a song from 2008,2008,,song,,,,,,
967,I want to hear music on Itunes,,,,,,Itunes,,,
968,Play fourties  soundtrack from Hamish Maccunn,fourties,,soundtrack,,Hamish Maccunn,,,,
969,Play fifties music on Deezer,fifties,,,,,Deezer,,,
970,Play a Loretta Lynn  tune on Groove Shark,,,tune,,Loretta Lynn,Groove Shark,,,
971,Play sugar baby by frank beard,,,,,frank beard,,,sugar baby,
972,Play a song on zvooq,,,song,,,zvooq,,,
973,Play Divine from Vinnie Roslin,,,,,Vinnie Roslin,,,Divine,
974,Play something by grandmaster flash & the furious five on youtube,,,,,grandmaster flash & the furious five,youtube,,,
975,Play the greatest  Nicholaus Arson  concerto from around 2000,2000,,concerto,greatest,Nicholaus Arson,,,,
976,play No More Sorrow,,,,,,,,No More Sorrow,
977,play something from the twenties on Lastfm,twenties,,,,,Lastfm,,,
978,play the album  Sauna on Zvooq,,,album,,,Zvooq,,,Sauna
979,Play something on my Classic Jazz Funk playlist on Zvooq,,Classic Jazz Funk,,,,Zvooq,,,
980,Play track  Cabbage by Keiji Haino,,,track,,Keiji Haino,,,Cabbage,
981,Play some music by beverley martyn,,,,,beverley martyn,,,,
982,Play me a concerto by Jethro Burns from Zvooq,,,concerto,,Jethro Burns,Zvooq,,,
983,"Play Liubi, Liubi, I Love You by Farah Asyikin Binti Zulkifli on Netflix",,,,,Farah Asyikin Binti Zulkifli,Netflix,,"Liubi, Liubi, I Love You",
984,Use Last Fm to play artist Kawabata Makoto from their record,,,record,,Kawabata Makoto,Last Fm,,,
985,Play me some folklore music,,,,,,,folklore,,
986,play Paula Campbell music from 1993,1993,,,,Paula Campbell,,,,
987,Play playlist Chilled R&B,,Chilled R&B,,,,,,,
988,Play some fifties music by Chris Brown .,fifties,,,,Chris Brown,,,,
989,Play music on Groove Shark .,,,,,,Groove Shark,,,
990,Play the Busco Un Pueblo  album,,,album,,,,,,Busco Un Pueblo
991,Play a record by Black Wall Street Records,,,record,,Black Wall Street Records,,,,
992,Play my Hot 50 playlist.,,Hot 50,,,,,,,
993,Play me a Jill Scott  sound track on deezer,,,sound track,,Jill Scott,deezer,,,
994,Can you play a top  song from a chyi chin  concerto,,,concerto,top,chyi chin,,,,
995,Play a song from 2003,2003,,song,,,,,,
996,Play some art punk .,,,,,,,art punk,,
997,Can I hear tod ashley music from 1953 ?,1953,,,,tod ashley,,,,
998,Play the song  Waar Is De Zon on Slacker,,,song,,,Slacker,,Waar Is De Zon,
999,Play music which has humour on Youtube .,,,,,,Youtube,humour,,
1000,Play me the most popular  Arthur Johnston  song,,,song,most popular,Arthur Johnston,,,,
1001,Please play an album from 1987,1987,,album,,,,,,
1002,play Tonight Only! by Nastya Kamenskih,,,,,Nastya Kamenskih,,,,Tonight Only!
1003,Play songs by Naomi Schemer,,,,,Naomi Schemer,,,,
1004,play Slacker tunes by Smog from movement in 2015,2015,,movement,,Smog,Slacker,,,
1005,Play me Sun Ra songs from the fifties,fifties,,,,Sun Ra,,,,
1006,Play the top fifty  soundtrack from the twenties .,twenties,,soundtrack,top fifty,,,,,
1007,Play music by Don Cherry .,,,,,Don Cherry,,,,
1008,Play Night Electric Night on Iheart,,,,,,Iheart,,,Night Electric Night
1009,Play the album  Killer Instinkt,,,album,,,,,,Killer Instinkt
1010,I want to hear the latest  twenties  album from Kyle Riabko,twenties,,album,latest,Kyle Riabko,,,,
1011,Can you play that last  ep from the twenties,twenties,,ep,last,,,,,
1012,play David Banner on Netflix,,,,,David Banner,Netflix,,,
1013,Play some Maynard James Keenan songs from Scenes From The Big Chair,,,,,Maynard James Keenan,,,,Scenes From The Big Chair
1014,Sort eighties  ep from the last,eighties,,ep,last,,,,,
1015,Play a top five  Jonny Buckland  symphony from around 1989,1989,,symphony,top five,Jonny Buckland,,,,
1016,play Spotify,,,,,,Spotify,,,
1017,Can you play some eighties music,eighties,,,,,,,,
1018,I want to hear music by Madeleine Peyroux from 1991 on Youtube .,1991,,,,Madeleine Peyroux,Youtube,,,
1019,play good music by General Woo on Deezer,,,,good,General Woo,Deezer,,,
1020,Play my Hype playlist on Youtube .,,Hype,,,,Youtube,,,
1021,play some seventies  Dj Colette,seventies,,,,Dj Colette,,,,
1022,play music from 1950,1950,,,,,,,,
1023,Play music from 2012 on google music,2012,,,,,google music,,,
1024,Play me the greatest  Howard Levy  song,,,song,greatest,Howard Levy,,,,
1025,Play playlist riveting ,,riveting,,,,,,,
1026,I want to hear a top five  ballad from 2002,2002,,ballad,top five,,,,,
1027,i wanna listen to a the top-twenty  track of Denniz Pop in Pandora,,,track,top-twenty,Denniz Pop,Pandora,,,
1028,play a movement from top-20  1983 by Baruch Chait,1983,,movement,top-20,Baruch Chait,,,,
1029,Play my springtime playlist.,,springtime,,,,,,,
1030,I want to hear that tune from 2010,2010,,tune,,,,,,
1031,Play Zvooq,,,,,,Zvooq,,,
1032,Play the album  21st Century Live by Chet Lam on Itunes .,,,album,,Chet Lam,Itunes,,,21st Century Live
1033,Can you play music from 2003 on Netflix,2003,,,,,Netflix,,,
1034,Play a native us  song on Last Fm,,,song,,,Last Fm,native us,,
1035,play my De Camino playlist,,De Camino,,,,,,,
1036,Play my Trapeo playlist.,,Trapeo,,,,,,,
1037,Play some new age music,,,,,,,new age,,
1038,I want to hear any top five music from Gene Autry,,,,top five,Gene Autry,,,,
1039,play music by Vybz Kartel,,,,,Vybz Kartel,,,,
1040,Can I hear the latest music from Bahar Kizil ?,,,,latest,Bahar Kizil,,,,
1041,play the top-twenty  tune by Masaharu Fukuyama on Slacker,,,tune,top-twenty,Masaharu Fukuyama,Slacker,,,
1042,Play Humour,,,,,,,Humour,,
1043,Play movement music from 1954,1954,,movement,,,,,,
1044,I want to hear the Fear The Boom And Bust  song from haruka shimotsuki off of Spotify,,,song,,haruka shimotsuki,Spotify,,Fear The Boom And Bust,
1045,I'd like to hear songs from Iheart,,,,,,Iheart,,,
1046,in Google Music play the top singles released in 1972,1972,,,top,,Google Music,,,
1047,Play the greatest  1966  album out there,1966,,album,greatest,,,,,
1048,I want to hear symphony songs from Rebecca Cartwright on Last Fm,,,symphony,,Rebecca Cartwright,Last Fm,,,
1049,Play 1958 music,1958,,,,,,,,
1050,play classic rock on Slacker,,,,,,Slacker,classic rock,,
1051,PLpay the top ten  track from Asia Nitollano on spotify .,,,track,top ten,Asia Nitollano,spotify,,,
1052,Play the top-twenty from Alexander Braginsky .,,,,top-twenty,Alexander Braginsky,,,,
1053,I'd like to listen to iheart radio's chill out playlist please.,,chill out,,,,iheart,,,
1054,Play a melody by avery storm .,,,melody,,avery storm,,,,
1055,Play the top 10 by Sankha Chatterjee .,,,,top 10,Sankha Chatterjee,,,,
1056,Play music by Nick La Rocca,,,,,Nick La Rocca,,,,
1057,Play my funtime playlist on lastfm .,,funtime,,,,lastfm,,,
1058,Play the track  That Would Be Something from Eden Ahbez,,,track,,Eden Ahbez,,,That Would Be Something,
1059,listen to tei  movement from most popular  eighties music,eighties,,movement,most popular,tei,,,,
1060,Play most popular from Nil Burak on Slacker,,,,most popular,Nil Burak,Slacker,,,
1061,Play the most popular  1956  record .,1956,,record,most popular,,,,,
1062,Play a 1950  album on Iheart,1950,,album,,,Iheart,,,
1063,Will you play my Nuestros 80 playlist,,Nuestros 80,,,,,,,
1064,Play Dave Mason 's soundtrack on Last Fm .,,,soundtrack,,Dave Mason,Last Fm,,,
1065,play some Annie Herring  beat street on itunes,,,,,Annie Herring,itunes,,,beat street
1066,Open Netflix and play Kan Man Gifta Sig I Jeans ?,,,,,,Netflix,,Kan Man Gifta Sig I Jeans,
1067,Play some music on Vimeo .,,,,,,Vimeo,,,
1068,Play the track  Siberian Khatru on zvooq,,,track,,,zvooq,,Siberian Khatru,
1069,play some Folk tunes,,,,,,,Folk,,
1070,Play a 1978  track on Slacker,1978,,track,,,Slacker,,,
1071,Play some music by Mutlu,,,,,Mutlu,,,,
1072,Play Dj Scratch 's eighties music on Iheart .,eighties,,,,Dj Scratch,Iheart,,,
1073,Play The Cross And The Crucible by Angela Au Man Sze on Google Music,,,,,Angela Au Man Sze,Google Music,,,The Cross And The Crucible
1074,Play some happy gabber .,,,,,,,happy gabber,,
1075,I want to hear some psychedelic rock,,,,,,,psychedelic rock,,
1076,Play the soundtrack that Tom Bellamy contributed to,,,soundtrack,,Tom Bellamy,,,,
1077,I want to hear Steven Harwell from the thirties,thirties,,,,Steven Harwell,,,,
1078,play music from the twenties with Slacker,twenties,,,,,Slacker,,,
1079,Play 1958 by wayne petti,1958,,,,wayne petti,,,,
1080,Play something from 1985 by Billy Werner,1985,,,,Billy Werner,,,,
1081,Play me a 1958  adam yauch  concerto on Groove Shark,1958,,concerto,,adam yauch,Groove Shark,,,
1082,Play prints in the stone by Helen Baylor,,,,,Helen Baylor,,,,prints in the stone
1083,play the last  1957  movement,1957,,movement,last,,,,,
1084,Play the most popular  Grace Slick  song that has a symphony sound,,,symphony sound,most popular,Grace Slick,,,,
1085,I want to hear some acid punk music,,,,,,,acid punk,,
1086,Play some music from Miss Platnum,,,,,Miss Platnum,,,,
1087,play Christina Milian  latest music,,,,latest,Christina Milian,,,,
1088,Play music from the seventies,seventies,,,,,,,,
1089,play a 2006  chant,2006,,chant,,,,,,
1090,Play some Mike Burney on Google Music .,,,,,Mike Burney,Google Music,,,
1091,Play a melody from Leigh Nash using Lastfm,,,melody,,Leigh Nash,Lastfm,,,
1092,Play me an eighties  song by Wes Dakus,eighties,,song,,Wes Dakus,,,,
1093,Play Post Garage Wave Revival playlist.,,Post Garage Wave Revival,,,,,,,
1094,Play Richard Fortus ' Live Collection .,,,,,Richard Fortus,,,,Live Collection
1095,play some dance on Groove Shark,,,,,,Groove Shark,dance,,
1096,play the most popular  album on Google Music by sasu ripatti,,,album,most popular,sasu ripatti,Google Music,,,
1097,I want to hear any tune from the twenties,twenties,,tune,,,,,,
1098,Play Jono El Grande from the thirties,thirties,,,,Jono El Grande,,,,
1099,Play blues on Vimeo,,,,,,Vimeo,blues,,
1100,Play some fourties music on Zvooq,fourties,,,,,Zvooq,,,
1101,play Wanted by Erykah Badu,,,,,Erykah Badu,,,Wanted,
1102,Play some Christian Rock,,,,,,,Christian Rock,,
1103,Play some Retro music.,,,,,,,Retro,,
1104,Play some music from the twenties .,twenties,,,,,,,,
1105,Play Mea Culpa by Rahim Shah,,,,,Rahim Shah,,,,Mea Culpa
1106,Play Acid Punk music.,,,,,,,Acid Punk,,
1107,Play Funky Heavy Bluesy,,Funky Heavy Bluesy,,,,,,,
1108,Play me a song from 1972 by Sweet Emma Barrett,1972,,song,,Sweet Emma Barrett,,,,
1109,Play The Birds And The Bees by Ceca .,,,,,Ceca,,,The Birds And The Bees,
