,text,best_rating,rating_unit,object_select,rating_value,object_part_of_series_type,object_name,object_type
788,rate the book  Dreams of the Raven  5  stars,,stars,,5,,Dreams of the Raven,book
789,Give Conan the Buccaneer  5 of 6  points,6,points,,5,,Conan the Buccaneer,
790,Rate the following  series a one out of 6,6,,following,one,series,,
791,Contemporary Religious Satanism gets a rating of 3 .,,,,3,,Contemporary Religious Satanism,
792,Rate Company for Gertrude  4 of 6,6,,,4,,Company for Gertrude,
793,I would like to rate the current  chronicle  4 to 6  stars .,6,stars,current,4,chronicle,,
794,rate the current  essay a four,,,current,four,,,essay
795,I give the chronicle  Atop an Underwood: Early Stories and Other Writings a rating value of 3 and a best rating of 6,6,,,3,chronicle,Atop an Underwood: Early Stories and Other Writings,
796,I would like to rate Tar: A Midwest Childhood a value of 1 and a best rating of 6,6,,,1,,Tar: A Midwest Childhood,
797,current  album gets a value of 0,,,current,0,,,album
798,Rate this  essay  four,,,this,four,,,essay
799,rate this  essay  2  points,,points,this,2,,,essay
800,I would give French Poets and Novelists a best rating of 6 and a value of three,6,,,three,,French Poets and Novelists,
801,give the current  chronicle  three  points,,points,current,three,chronicle,,
802,Rate this  album a one,,,this,one,,,album
803,This current  essay deserves only a three rating,,,current,three,,,essay
804,Give The Diamond Chariot a 0 out of 6 .,6,,,0,,The Diamond Chariot,
805,I think that this  essay deserves four  stars,,stars,this,four,,,essay
806,Rate this  textbook  four  points,,points,this,four,,,textbook
807,Rate the current  novel  four of 6  stars,6,stars,current,four,,,novel
808,I feel that The Loveday Trials is rated at a one out of 6  points .,6,points,,one,,The Loveday Trials,
809,I give The Elegant Universe  five out of 6  stars,6,stars,,five,,The Elegant Universe,
810,rate this  textbook a one,,,this,one,,,textbook
811,"Rate The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves  series  2  points",,points,,2,series,"The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves",
812,Rate the current  book  1  points,,points,current,1,,,book
813,Rate Steps  two out of 6  points,6,points,,two,,Steps,
814,Give the current  album a 2,,,current,2,,,album
815,give two out of 6  stars  saga called The Big Question,6,stars,,two,saga,The Big Question,
816,rate the previous  textbook a 4 out of 6,6,,previous,4,,,textbook
817,I think this  saga only deserves a 0 out of 6 .,6,,this,0,saga,,
818,Give the current  textbook  five  stars .,,stars,current,five,,,textbook
819,rate current  essay  1  stars,,stars,current,1,,,essay
820,rate this current  essay  4 out of 6  stars,6,stars,current,4,,,essay
821,I gave Perchance to Dream  4 of 6  points,6,points,,4,,Perchance to Dream,
822,Give the Hover Car Racer  chronicle  two of 6  stars,6,stars,,two,chronicle,Hover Car Racer,
823,give a 5 to A Picture of Her Tombstone,,,,5,,A Picture of Her Tombstone,
824,I would give this  chronicle  0  stars,,stars,this,0,chronicle,,
825,I want to give this  textbook  four out of 6 ,6,,this,four,,,textbook
826,I give 3 of 6  stars for the current  textbook,6,stars,current,3,,,textbook
827,this  novel gets 1 star,,,this,1,,,novel
828,I would like to rate The Hundred-Year Christmas  four  stars .,,stars,,four,,The Hundred-Year Christmas,
829,Give the current  album a four .,,,current,four,,,album
830,Give The Plague a 0,,,,0,,The Plague,
831,can i give the book  The Saga of Seven Suns a four out of 6  stars,6,stars,,four,,The Saga of Seven Suns,book
832,I want to give A Mortal Flower a two,,,,two,,A Mortal Flower,
833,rate this series titled Adolf Hitler: My Part in His Downfall  two  stars,,stars,,two,series,Adolf Hitler: My Part in His Downfall,
834,Add a rating of 0 out of 6  stars to The Lady of The Aroostook,6,stars,,0,,The Lady of The Aroostook,
835,give 2  stars to Mulligan Stew  series,,stars,,2,series,Mulligan Stew,
836,rate Doctor No  one of 6,6,,,one,,Doctor No,
837,Rate this  novel  one out of 6  stars,6,stars,this,one,,,novel
838,I am giving this current  textbook  4  stars,,stars,current,4,,,textbook
839,Rate this  textbook a 5,,,this,5,,,textbook
840,I give The Homo Handbook  saga  3 of 6  stars,6,stars,,3,saga,The Homo Handbook,
841,rate the current  essay  three of 6  points,6,points,current,three,,,essay
842,I give Nothing Lasts Forever  5 out of 6  points .,6,points,,5,,Nothing Lasts Forever,
843,Rate Wolves Eat Dogs  5 out of 6  points,6,points,,5,,Wolves Eat Dogs,
844,Rate this  novel  four  stars,,stars,this,four,,,novel
845,My current  textbook should have a rating value of 5 and a best rating of 6,6,,current,5,,,textbook
846,The book  As Sure as the Dawn gets a two out of 6 rating,6,,,two,,As Sure as the Dawn,book
847,I wish to rate zero  points out of 6 to The Crack in Space .,6,points,,zero,,The Crack in Space,
848,give this book titled Othappu  zero  points,,points,,zero,,Othappu,book
849,I'd like to rate My Beloved World  two  points,,points,,two,,My Beloved World,
850,Rate the current  textbook a 5 .,,,current,5,,,textbook
851,I want to give this  book a rating of 2  points out of 6 .,6,points,this,2,,,book
852,Give the book  Men and the City  3 out of 6  stars,6,stars,,3,,Men and the City,book
853,I give a rating of 3 to The Ultimate Resource .,,,,3,,The Ultimate Resource,
854,Give A History of the Mind a 2 out of 6  points .,6,points,,2,,A History of the Mind,
855,I rate Cold Tom  four  points and a best value of 6,6,points,,four,,Cold Tom,
856,For the book  Icon of Evil I rate a 2 ,,,,2,,Icon of Evil,book
857,Rate the current  essay  0 .,,,current,0,,,essay
858,Rate this  novel a 1 out of 6,6,,this,1,,,novel
859,Give Star Songs of an Old Primate  4 out of 6  points,6,points,,4,,Star Songs of an Old Primate,
860,give this  saga a 4,,,this,4,saga,,
861,rate Lone Wolf  3  points,,points,,3,,Lone Wolf,
862,Rate Gates of Fire a 2,,,,2,,Gates of Fire,
863,For the book  The Flash: Stop Motion I give a rating of 5  points,,points,,5,,The Flash: Stop Motion,book
864,I want to give this  novel a four out of 6  stars,6,stars,this,four,,,novel
865,I'd rate the current  essay as a 2,,,current,2,,,essay
866,The Execution of Justice only deserves 2  points,,points,,2,,The Execution of Justice,
867,give 1 star to this  album,,,this,1,,,album
868,Rate the current  novel a one ,,,current,one,,,novel
869,Rate this  album  two out of 6  stars,6,stars,this,two,,,album
870,I rate the book  You Only Live Twice  two  points,,points,,two,,You Only Live Twice,book
871,The Half-Life  chronicle deserves 3  points,,points,,3,chronicle,Half-Life,
872,give it a 0 for this  essay,,,this,0,,,essay
873,Give the current  chronicle a three .,,,current,three,chronicle,,
874,Rate Human Capital Supply Chain  four of 6  points,6,points,,four,,Human Capital Supply Chain,
875,Give the current  book  five  stars out of 6 .,6,stars,current,five,,,book
876,rate the current  essay a three,,,current,three,,,essay
877,mark The Final Battle score two out of 6,6,,,two,,The Final Battle,
878,rate the current  book  three  stars,,stars,current,three,,,book
879,this  saga deserves a score of four,,,this,four,saga,,
880,give one out of 6  points to this  album,6,points,this,one,,,album
881,Rate the current  essay a 1,,,current,1,,,essay
882,rate The Beggar of Volubilis  1 out of 6,6,,,1,,The Beggar of Volubilis,
883,give 1  points to The Duel: Pakistan on the Flight Path of American Power  saga ,,points,,1,saga,The Duel: Pakistan on the Flight Path of American Power,
884,rate the current  novel  5  stars,,stars,current,5,,,novel
885,Give The First Chronicles of Druss the Legend a zero .,,,,zero,,The First Chronicles of Druss the Legend,
886,Give the current  textbook  four  stars,,stars,current,four,,,textbook
887,the previous  novel is worth two out of 6,6,,previous,two,,,novel
888,give five out of 6  points to this  album,6,points,this,five,,,album
889,I am rating this book titled A History of Warfare under the war  series  1 out of 6  stars,6,stars,,1,series,war,book
890,give four  stars to What the Day Owes the Night,,stars,,four,,What the Day Owes the Night,
891,I want to give the current  saga  0  stars ,,stars,current,0,saga,,
892,give this current  essay  five out of 6  stars,6,stars,current,five,,,essay
893,I want to give this  textbook  3 out of 6  points,6,points,this,3,,,textbook
894,I am rating this book named The Infinite Man  5  stars,,stars,,5,,The Infinite Man,book
895,I give Hadon of Ancient Opar  two out of 6  points,6,points,,two,,Hadon of Ancient Opar,
896,rate this with zero  points for the saga called A Good Recovery out of 6,6,points,,zero,saga,A Good Recovery,
897,The boring Peace on Earth gets a two out of 6 .,6,,,two,,Peace on Earth,
898,rate this  essay  zero out of 6,6,,this,zero,,,essay
899,Rate this  series a 5,,,this,5,series,,
900,I'd give the current  essay  five  points,,points,current,five,,,essay
901,Rate A Handful of Darkness a value of 3 ,,,,3,,A Handful of Darkness,
902,I would give this  textbook a rating of 0 and a best rating of 6,6,,this,0,,,textbook
903,Rate The Crocus List  five out of 6,6,,,five,,The Crocus List,
904,Rate The Tritonian Ring  zero,,,,zero,,The Tritonian Ring,
905,I'd rate the current  essay  1  stars,,stars,current,1,,,essay
906,Rate The Mills of The Kavanaughs  series a one,,,,one,series,The Mills of The Kavanaughs,
907,I give this terrible book a two out of 6 .,6,,this,two,,,book
908,award this current  novel  0  points,,points,current,0,,,novel
909,Rate the current  chronicle a two,,,current,two,chronicle,,
910,Rate the current  novel  1 out of 6  points .,6,points,current,1,,,novel
911,Rate my current  textbook  three out of 6,6,,current,three,,,textbook
912,give 4  points to Fight Club,,points,,4,,Fight Club,
913,give 2 out of 6  points to current  essay ,6,points,current,2,,,essay
914,Evolution and the Theory of Games gets a five out of 6 .,6,,,five,,Evolution and the Theory of Games,
915,I have to give this current  essay a rating of three,,,current,three,,,essay
916,Rate The Seventh Decade  two of 6  points,6,points,,two,,The Seventh Decade,
917,rate this  essay a 3,,,this,3,,,essay
918,Rate the current  book  three out of 6 .,6,,current,three,,,book
919,Give Highways in Hiding a 5 out of 6  points .,6,points,,5,,Highways in Hiding,
920,The horrible book  The Black Gryphon only gets 2 out of 6 .,6,,,2,,The Black Gryphon,book
921,rate the last  saga  3,,,last,3,saga,,
922,rate Theodore Boone: The Accused  five out of 6  points,6,points,,five,,Theodore Boone: The Accused,
923,Rate Dead Boys a 0 ,,,,0,,Dead Boys,
924,Rate Pillar of Fire and Other Plays a three,,,,three,,Pillar of Fire and Other Plays,
925,rate this current  novel  1  stars,,stars,current,1,,,novel
926,Give this  novel  four out of 6  stars .,6,stars,this,four,,,novel
927,rate Alfred Kropp: The Thirteenth Skull  3 out of 6,6,,,3,,Alfred Kropp: The Thirteenth Skull,
928,I want this  chronicle to get a rating of 4,,,this,4,chronicle,,
929,Rate The Vanishing Thieves  4 out of 6,6,,,4,,The Vanishing Thieves,
930,Rate this  chronicle a 3,,,this,3,chronicle,,
931,give the current  essay a 1 ,,,current,1,,,essay
932,rate the book  Pimpernel and Rosemary  1 out of 6,6,,,1,,Pimpernel and Rosemary,book
933,give 0 out of 6  points to current  book,6,points,current,0,,,book
934,I give the Carry Me Down  chronicle  three of 6  points,6,points,,three,chronicle,Carry Me Down,
935,The current  essay is worthy only of a 0 out 6 score.,6,,current,0,,,essay
936,this next  essay is worth five,,,next,five,,,essay
937,I'm rating the book  Tomorrow  two out of 6  stars,6,stars,,two,,Tomorrow,book
938,Give 2 out of 6  points to A Tale of Time City,6,points,,2,,A Tale of Time City,
939,"I want to rate Nathaniel Fludd, Beastologist  1 out of 6",6,,,1,,"Nathaniel Fludd, Beastologist",
940,rate the current  essay  2 out of 6,6,,current,2,,,essay
941,Give one out of 6 to A Week in the Woods,6,,,one,,A Week in the Woods,
942,I give Song of Solomon a rating of one .,,,,one,,Song of Solomon,
943,Give this  textbook  zero  stars,,stars,this,zero,,,textbook
944,Contemporary Religious Satanism gets a 3 rating.,,,,3,,Contemporary Religious Satanism,
945,Give Mason & Dixon a rating of three .,,,,three,,Mason & Dixon,
946,"I would give the Against His-Story, Against Leviathan  saga a value of one",,,,one,saga,"Against His-Story, Against Leviathan",
947,Rate The Twinkie Squad  chronicle  four of 6,6,,,four,chronicle,The Twinkie Squad,
948,Rate the current  saga  four  stars out of 6,6,stars,current,four,saga,,
949,rate the current  album  two out of 6,6,,current,two,,,album
950,give zero  points out of 6 to The Devil in a Forest,6,points,,zero,,The Devil in a Forest,
951,I want to give The Unpleasantness at the Bellona Club  5  points,,points,,5,,The Unpleasantness at the Bellona Club,
952,rate this  album  2 of 6 ,6,,this,2,,,album
953,Rate the current  novel a zero .,,,current,zero,,,novel
954,Rate this current  essay a zero .,,,this current,zero,,,essay
955,Rate this  series  one  stars,,stars,this,one,series,,
956,rate the current  book a four,,,current,four,,,book
957,Put 4  points to The Last Island  book,,points,,4,,The Last Island,book
958,rate the current  novel  0 of 6,6,,current,0,,,novel
959,Rate The Australian Ugliness  3  points,,points,,3,,The Australian Ugliness,
960,I think that this  novel should get 2  points and a rating of 6,6,points,this,2,,,novel
961,I give The Thibaults a 1 .,,,,1,,The Thibaults,
962,put four rating on The Raging Quiet,,,,four,,The Raging Quiet,
963,rate Mus of Kerbridge a one,,,,one,,Mus of Kerbridge,
964,Rate the chronicle  Tarzan the Terrible a 4 out of 6,6,,,4,chronicle,Tarzan the Terrible,
965,I would give Political Man  zero  stars,,stars,,zero,,Political Man,
966,Rate The Hollow Man  5  points,,points,,5,,The Hollow Man,
967,Give this  essay  1 out of 6 .,6,,this,1,,,essay
968,Give this  book a rating of four out of 6 .,6,,this,four,,,book
969,Rate this  album a 3 ,,,this,3,,,album
970,rate the book  The Devil in Velvet  4 out of 6  points,6,points,,4,,The Devil in Velvet,book
971,The current  novel I'm reading gets only a one out of 6 .,6,,current,one,,,novel
972,Give The CIA and the Cult of Intelligence a rating of 5 .,,,,5,,The CIA and the Cult of Intelligence,
973,rate the current  essay a 4 ,,,current,4,,,essay
974,give 4 out of 6  stars to The Nightmare Lands,6,stars,,4,,The Nightmare Lands,
975,I would give this current  novel  two  points or a rating of 6,6,points,current,two,,,novel
976,Rate this  essay a 1,,,this,1,,,essay
977,I rate three  points for the book  The Early Coorgs,,points,,three,,The Early Coorgs,book
978,Give this  textbook a four ,,,this,four,,,textbook
979,"Rate Anarchy, State, and Utopia  saga a 5",,,,5,saga,"Anarchy, State, and Utopia",
980,give 0 out of 6 star to Religion and Dharma  series,6,,,0,series,Religion and Dharma,
981,A Sport and a Pastime is a solid 5 out of 6  points,6,points,,5,,A Sport and a Pastime,
982,rate the previous  essay  1 of 6  stars,6,stars,previous,1,,,essay
983,give two  points to Wild Blood,,points,,two,,Wild Blood,
984,Give the current  album on my playlist a rating of three .,,,current,three,,,album
985,give a 1 to A Thousand Lies,,,,1,,A Thousand Lies,
986,I want to rate Pontypool Changes Everything a zero out of 6  points,6,points,,zero,,Pontypool Changes Everything,
987,Rate Nuclear Terrorism: The Ultimate Preventable Catastrophe  5  stars,,stars,,5,,Nuclear Terrorism: The Ultimate Preventable Catastrophe,
988,rate this  book  5 of 6  points,6,points,this,5,,,book
989,rate The Crossing  3 of 6,6,,,3,,The Crossing,
990,this is a 1 star textbook,,,this,1,,,textbook
991,I think this  textbook should have four  stars and a best rating of 6,6,stars,this,four,,,textbook
992,rate Over the Edge a three,,,,three,,Over the Edge,
993,I rate the current  textbook a 1 out of 6 .,6,,current,1,,,textbook
994,I give this  textbook a 5,,,this,5,,,textbook
995,rate this  essay  four out of 6  points,6,points,this,four,,,essay
996,Give the current  essay  five  points .,,points,current,five,,,essay
997,Rate the current  novel  5 of 6  points,6,points,current,5,,,novel
998,Rate A Tale of Love and Darkness  0  points,,points,,0,,A Tale of Love and Darkness,
999,rate Betrayer of Worlds  1 out of 6,6,,,1,,Betrayer of Worlds,
1000,Rate the current  book  five of 6  stars,6,stars,current,five,,,book
1001,Rate this  textbook a 2 .,,,this,2,,,textbook
1002,Mars Probes gets a 1 rating.,,,,1,,Mars Probes,
1003,Rate this  novel a two out of 6 .,6,,this,two,,,novel
1004,give 0 out of 6  stars to this  album,6,stars,this,0,,,album
1005,Rate Richard Carvel  4 out of 6,6,,,4,,Richard Carvel,
1006,I would rate this  novel  2  points and a best rating of 6,6,points,this,2,,,novel
1007,I give the Knife of Dreams  saga a 0 of 6,6,,,0,saga,Knife of Dreams,
1008,rate the following  novel  one of 6,6,,following,one,,,novel
1009,I would rate this current  essay a 0,,,current,0,,,essay
1010,rate this  book  5  stars out of 6,6,stars,this,5,,,book
1011,Rate The Documents in the Case  series  two of 6,6,,,two,series,The Documents in the Case,
1012,I gave the current  book a three of 6,6,,current,three,,,book
1013,give this  essay  4  points,,points,this,4,,,essay
1014,"rate the book  A Girl, a Man, and a River a five",,,,five,,"A Girl, a Man, and a River",book
1015,"4  points for Four Upbuilding Discourses, 1844",,points,,4,,"Four Upbuilding Discourses, 1844",
1016,"The book  Dying, In Other Words deserves at least five  points on a 6 point scale.",6,points,,five,,"Dying, In Other Words",book
1017,rate the bok series  Preparedness 101: Zombie Apocalypse  two for 6  stars,6,stars,,two,series,Preparedness 101: Zombie Apocalypse,
1018,Rate Rajinikanth: The Definitive Biography  one out of 6  stars,6,stars,,one,,Rajinikanth: The Definitive Biography,
1019,Rate Gota’s War a one,,,,one,,Gota’s War,
1020,The Bone Season is worth at least three  points,,points,,three,,The Bone Season,
1021,give two star to current  textbook,,,current,two,,,textbook
1022,this book gets points for being current and a three,,points,current,three,,,book
1023,rate the book  Whit a zero,,,,zero,,Whit,book
1024,Rate the current  novel a 1,,,current,1,,,novel
1025,Rate this  textbook  four of 6  points,6,points,this,four,,,textbook
1026,find a saga with 0 rating called Poems for Midnight,,,,0,saga,Poems for Midnight,
1027,I give the Journal of a Sad Hermaphrodite a 0 out of 6  points .,6,points,,0,,Journal of a Sad Hermaphrodite,
1028,The book  Organization of Behavior deserves two  points .,,points,,two,,Organization of Behavior,book
1029,"Rate Dixie Lullaby: A Story of Music, Race and New Beginnings in a New South  five out of 6  points",6,points,,five,,"Dixie Lullaby: A Story of Music, Race and New Beginnings in a New South",
1030,rate The Archivist  three out of 6  stars,6,stars,,three,,The Archivist,
1031,rate National Geographic Dinosaurs  2 out of 6,6,,,2,,National Geographic Dinosaurs,
1032,Rate Star Wars - The Old Republic: Revan  1  points,,points,,1,,Star Wars - The Old Republic: Revan,
1033,give After Worlds Collide a 1 ,,,,1,,After Worlds Collide,
1034,Rate Ecology: From Individuals to Ecosystems  five out of 6  stars,6,stars,,five,,Ecology: From Individuals to Ecosystems,
1035,Rate the current  essay  1 of 6,6,,current,1,,,essay
1036,Rate Religion and Dharma  saga  1  points,,points,,1,saga,Religion and Dharma,
1037,rate this  book  chronicle  1  points,,points,this,1,chronicle,,book
1038,Rate The Compleat Housewife  saga  zero of 6,6,,,zero,saga,The Compleat Housewife,
1039,I give four  stars to this  chronicle .,,stars,this,four,chronicle,,
1040,Rate the current  textbook  2  stars,,stars,current,2,,,textbook
1041,Rate The Hard Life  0  stars ,,stars,,0,,The Hard Life,
1042,Rate this  novel a 1 out of 6,6,,this,1,,,novel
1043,Give Northern Lights Audio  5 / 6  points,6,points,,5,,Northern Lights Audio,
1044,rate The Plutonium Files a five,,,,five,,The Plutonium Files,
1045,Rate the current  essay  four out of 6 .,6,,current,four,,,essay
1046,give one point to Compendium of Analytical Nomenclature,,,,one,,Compendium of Analytical Nomenclature,
1047,rate the current  book  five of 6,6,,current,five,,,book
1048,Give the current part of the saga  4  points out of 6 .,6,points,current,4,saga,,
1049,rate the chronicle  Ten from Tomorrow a 2,,,,2,chronicle,Ten from Tomorrow,
1050,Please rate the current  textbook with 5  stars out o 6,6,stars,current,5,,,textbook
1051,Rate this  textbook  one  stars out of 6 ,6,stars,this,one,,,textbook
1052,Give 3 / 6  stars to The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures,6,stars,,3,,The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures,
1053,This current  textbook should have a rating value of two and a best rating of 6,6,,current,two,,,textbook
1054,I would rate The Codebreakers a rating of 6 and a value of 2,6,,,2,,The Codebreakers,
1055,rate the current  essay  one out of 6,6,,current,one,,,essay
1056,Give Home from the Hill a 3 ,,,,3,,Home from the Hill,
1057,rate What the Dog Saw a two,,,,two,,What the Dog Saw,
1058,rate the saga  In Mortal Hands  five out of 6  stars,6,stars,,five,saga,In Mortal Hands,
1059,Rate The Summer King  saga a 1  stars,,stars,,1,saga,The Summer King,
1060,rate The Knife That Killed Me a three,,,,three,,The Knife That Killed Me,
1061,Rate The Book of Three a five,,,,five,,The Book of Three,
1062,rate the next  book  0 of 6,6,,next,0,,,book
1063,give 1 star to The Cure for Death by Lightning,,,,1,,The Cure for Death by Lightning,
1064,this  series gets 2 out of 6  stars,6,stars,this,2,series,,
1065,Rate Encyclopedia of Domestic Animation  four out of 6  stars,6,stars,,four,,Encyclopedia of Domestic Animation,
1066,Rate this  textbook  4 out of 6  stars,6,stars,this,4,,,textbook
1067,I need a 6 rating or five with something like a saga in The Best Science Fiction of the Year 13,6,,,five,saga,The Best Science Fiction of the Year 13,
1068,this  series should get 0 of 6  points,6,points,this,0,series,,
1069,my rating for Some Doves and Pythons is four,,,,four,,Some Doves and Pythons,
1070,give zero out of 6  stars to Smart Girls Get What They Want  book ,6,stars,,zero,,Smart Girls Get What They Want,book
1071,The current  saga only gets three  points out of 6 .,6,points,current,three,saga,,
1072,rate The Pure Weight of the Heart  series  5  points,,points,,5,series,The Pure Weight of the Heart,
1073,give The Rosales Saga  2 of 6 ,6,,,2,,The Rosales Saga,
1074,rate the book  saga  West with the Night a 2,,,,2,saga,West with the Night,book
1075,give zero out of 6  points to Mr American,6,points,,zero,,Mr American,
1076,I give the next  novel  two  stars,,stars,next,two,,,novel
1077,Rate Leap into Darkness  1  points,,points,,1,,Leap into Darkness,
1078,Rate the current  album  2  stars,,stars,current,2,,,album
1079,Rate Battleaxe  five out of 6,6,,,five,,Battleaxe,
1080,"Out of a possible 6  stars , I give The Princes and The Treasure a five .",6,stars,,five,,The Princes and The Treasure,
1081,Rate the current  textbook  1 of 6,6,,current,1,,,textbook
1082,The Private Patient gets a rating of 5 ,,,,5,,The Private Patient,
1083,rate American Tabloid a 0,,,,0,,American Tabloid,
1084,Rate this  textbook  four of 6,6,,this,four,,,textbook
1085,Rate my current  novel  one  stars,,stars,current,one,,,novel
1086,Rate Three Men Out a three,,,,three,,Three Men Out,
1087,Rate this  essay  four out of 6,6,,this,four,,,essay
1088,rate the current  essay  three  points,,points,current,three,,,essay
1089,I want to give the chronicle  Zombie Bums from Uranus  3  points,,points,,3,chronicle,Zombie Bums from Uranus,
1090,I give The Tin Can Tree a five of 6,6,,,five,,The Tin Can Tree,
1091,A Conspiracy of Paper deserves a solid 3,,,,3,,A Conspiracy of Paper,
1092,Rate The Purcell Papers  two out of 6  stars,6,stars,,two,,The Purcell Papers,
1093,stars for this album are one for the current  6 ratings,6,stars,current,one,,,album
1094,rate this  book  three  points out of 6,6,points,this,three,,,book
1095,Rate this  album  0  points out of 6,6,points,this,0,,,album
1096,Rate the previous  album  0  points out of 6,6,points,previous,0,,,album
1097,give 1 out of 6  points to current  saga,6,points,current,1,saga,,
1098,I would rate this  textbook  5  points and a rating value of 6,6,points,this,5,,,textbook
1099,A Writing Kind of Day deserves three  points and a best rating of 6,6,points,,three,,A Writing Kind of Day,
1100,"Assign 4  stars out of 6 to the chronicle , God and Man at Yale .",6,stars,,4,chronicle,God and Man at Yale,
1101,Give the current  album a three .,,,current,three,,,album
1102,Rate Nothing Lasts Forever a value of 3,,,,3,,Nothing Lasts Forever,
1103,rate the current  chronicle series  4 out of 6  points,6,points,current,4,chronicle series,,
1104,rate The Chymical Wedding  3  points,,points,,3,,The Chymical Wedding,
1105,rate this book titled Sombrero Fallout: A Japanese Novel  0  points,,points,,0,,Sombrero Fallout: A Japanese Novel,book
1106,Rate The Starship Trap  5  stars,,stars,,5,,The Starship Trap,
1107,Give 2  points to Khaled: A Tale of Arabia,,points,,2,,Khaled: A Tale of Arabia,
1108,Rate People of the Lakes  2 of 6,6,,,2,,People of the Lakes,
1109,I want to give the book  Heart and Soul  three  stars .,,stars,,three,,Heart and Soul,book
1110,rate Darth Maul: Shadow Hunter  one out 6  stars,6,stars,,one,,Darth Maul: Shadow Hunter,
1111,Rate The Penelopiad  zero out of 6 .,6,,,zero,,The Penelopiad,
1112,rate Until I Find You  four  points,,points,,four,,Until I Find You,
1113,I give the previous  album  one out of 6  points .,6,points,previous,one,,,album
1114,I want to give Three Days Before the Shooting...  one out of 6  stars,6,stars,,one,,Three Days Before the Shooting...,
1115,I would give this current  novel  one  stars,,stars,current,one,,,novel
1116,I'd rate The Rise of the West a 2 of 6  stars,6,stars,,2,,The Rise of the West,
1117,Know Ye Not Agincourt? gets 4 out of 6  points,6,points,,4,,Know Ye Not Agincourt?,
1118,rate The Republic of Thieves  chronicle  three out of 6  points,6,points,,three,chronicle,The Republic of Thieves,
1119,Rate the current  saga a two,,,current,two,saga,,
1120,I give The Blood Book  five  stars,,stars,,five,,The Blood Book,
1121,give 4 out of 6  points to this  book,6,points,this,4,,,book
1122,Give Home Is the Hunter  zero  stars,,stars,,zero,,Home Is the Hunter,
1123,Rate this  essay  four out of 6,6,,this,four,,,essay
1124,four out of 6  stars for Special Assignments,6,stars,,four,,Special Assignments,
1125,rate the current  chronicle  five  stars,,stars,current,five,chronicle,,
1126,I'd like to rate the book  White Dawns at zero of 6  stars .,6,stars,,zero,,White Dawns,book
1127,I want to give the following  essay  five  points out of 6,6,points,following,five,,,essay
1128,The Forest should be rated a four,,,,four,,The Forest,
1129,Rate The Best American Short Stories 2007  one out of 6  points,6,points,,one,,The Best American Short Stories 2007,
1130,I rate the current  novel a 1 of 6  stars,6,stars,current,1,,,novel
1131,"rate Dick Sand, A Captain at Fifteen a two out of 6",6,,,two,,"Dick Sand, A Captain at Fifteen",
1132,Give zero  stars to Book of Artifacts,,stars,,zero,,Book of Artifacts,
1133,I want to rate this  essay  0 of 6  stars,6,stars,this,0,,,essay
1134,rate My Life As a Book  five out of 6,6,,,five,,My Life As a Book,
1135,Rate The Reader is Warned  four out of 6  points,6,points,,four,,The Reader is Warned,
1136,Rate The Country Blues  3 out of 6  stars,6,stars,,3,,The Country Blues,
1137,Rate The Taking  series a zero out of 6,6,,,zero,series,The Taking,
1138,Give this  album  4 of 6  points,6,points,this,4,,,album
1139,Rate The Myth of Matriarchal Prehistory  series a four,,,,four,series,The Myth of Matriarchal Prehistory,
1140,rate this  book  0 out of 6,6,,this,0,,,book
1141,I would give The Case of the Late Pig a best rating of 6 and a five for value,6,,,five,,The Case of the Late Pig,
1142,I would rate That Old Ace in the Hole  one  stars and a best rating of 6,6,stars,,one,,That Old Ace in the Hole,
1143,I give Benson-Meditation  1 out of 6  stars .,6,stars,,1,,Benson-Meditation,
1144,The Only Snow in Havana deserves a best rating of 6 and 5  points,6,points,,5,,The Only Snow in Havana,
1145,I give Warheart  5  stars .,,stars,,5,,Warheart,
1146,rate this  series  4  stars,,stars,this,4,series,,
1147,Give the current  essay  5 / 6  stars,6,stars,current,5,,,essay
1148,I give The Phishing Manual  four  stars out of 6 .,6,stars,,four,,The Phishing Manual,
1149,Rate this current  essay  four out of 6 .,6,,this current,four,,,essay
1150,Rate the Apocalisse  saga  one out of 6  points,6,points,,one,saga,Apocalisse,
1151,Rate The Scoop  4 of 6  stars,6,stars,,4,,The Scoop,
1152,Rate The Abyss of Wonders  4 out of 6 .,6,,,4,,The Abyss of Wonders,
1153,Rate Illness as Metaphor  5 of 6,6,,,5,,Illness as Metaphor,
1154,I give The Alchemyst: The Secrets of the Immortal Nicholas Flamel  2 out of 6  stars .,6,stars,,2,,The Alchemyst: The Secrets of the Immortal Nicholas Flamel,
1155,rate the current  saga  zero of 6  stars,6,stars,current,zero,saga,,
1156,Rate the current  essay  0 of 6,6,,current,0,,,essay
1157,give a 4 rating for Curtains for Three,,,,4,,Curtains for Three,
1158,Rate Through Distant Worlds and Times  5 of 6  points,6,points,,5,,Through Distant Worlds and Times,
1159,rate the current  book  two of 6  stars,6,stars,current,two,,,book
1160,give 1 out of 6  points to current  textbook,6,points,current,1,,,textbook
1161,Rate Timeline of science fiction  4 out of 6,6,,,4,,Timeline of science fiction,
1162,Rate this current  album  0,,,current,0,,,album
