,text,playlist_owner,music_item,entity_name,artist,playlist
1031,Add Hotter Than Hell to my  Fiesta playlist,my,,Hotter Than Hell,,Fiesta
1032,add mike mogis onto my  crate diggers anonymous playlist,my,,,mike mogis,crate diggers anonymous
1033,add david dallas to my  latin dance cardio playlist,my,,,david dallas,latin dance cardio
1034,add this artist to Pop 2017 Picks,,artist,,,Pop 2017 Picks
1035,Add Scarred to my  This Is ZezÃ© Di Camargo & Luciano,my,,Scarred,,This Is ZezÃ© Di Camargo & Luciano
1036,add my  album to This Is Al Green,my,album,,,This Is Al Green
1037,add this artist to Blues Roots list,,artist,,,Blues Roots
1038,Add the artist to the nuclear blast novelties playlist.,,artist,,,nuclear blast novelties
1039,Add Born Free to Fresh R&B,,,Born Free,,Fresh R&B
1040,Add an album to my  Sylvia Plath playlist.,my,album,,,Sylvia Plath
1041,"Put this song on my playlist, In The Name Of Blues .",my,song,,,In The Name Of Blues
1042,add the artist  Jamie T to hallie's  winter music playlist,hallie's,artist,,Jamie T,winter music
1043,Put more Unbelievable in my  grandes unplugged playlist.,my,,Unbelievable,,grandes unplugged
1044,Add this artist to my  Classic Punk playlist,my,artist,,,Classic Punk
1045,The Sleep Machine Waterscapes playlist needs some kris chetan ramlu in it.,,,,kris chetan ramlu,The Sleep Machine Waterscapes
1046,Add something by ritchie valens to my playlist virales de siempre,my,,,ritchie valens,virales de siempre
1047,Add the Proof  album to Cierra La Puerta playlist,,album,,Proof,Cierra La Puerta
1048,Add the tune to my  Epic Classical playlist.,my,tune,,,Epic Classical
1049,Add this tune by rod argent to propuesta alternativa playlist,,tune,,rod argent,propuesta alternativa
1050,Add inconfundible to Stomp & Holler,,,inconfundible,,Stomp & Holler
1051,Add My Very Best to my  road trip playlist.,my,,My Very Best,,road trip
1052,For my playlist fresh finds hiptronix add the name polka medley,my,,polka medley,,fresh finds hiptronix
1053,add this album to the playlist called dishwashing,,album,,,dishwashing
1054,rate tune to my  natalie macmaster  viajes,my,tune,,natalie macmaster,viajes
1055,Put a Paul Hardcastle  song in my  classic jazz funk playlist.,my,song,,Paul Hardcastle,classic jazz funk
1056,Can you add an album to my  Are & Be playlist,my,album,,,Are & Be
1057,I want to put a copy of this tune into Skatepark Punks,,tune,,,Skatepark Punks
1058,ADD Me Kommeni Tin Anasa to my  propuesta alternativa playlist,my,,Me Kommeni Tin Anasa,,propuesta alternativa
1059,Add this track by horace andy to acoustic soul,,track,,horace andy,acoustic soul
1060,please put this song by nas in my  Hype playlist,my,song,,nas,Hype
1061,add the song by brian larsen to the Cardio playlist,,song,,brian larsen,Cardio
1062,add cross bones style to Guest List TaKe,,,cross bones style,,Guest List TaKe
1063,For the playlist this is mozart add Nana Mizuki Live Fighter -Blue x Red Side-,,,Nana Mizuki Live Fighter -Blue x Red Side-,,this is mozart
1064,Add The Hellacopters singles to my  teen party,my,,The Hellacopters singles,,teen party
1065,add the artist  gougoush to the Soul Revived playlist,,artist,,gougoush,Soul Revived
1066,I want to add No Mystery to alejandra's  Acoustic Love playlist,alejandra's,,No Mystery,,Acoustic Love
1067,my  Disco Forever playlist needs an album by sawai gandharva .,my,album,,sawai gandharva,Disco Forever
1068,add this artist to my  SinfonÃ­a Hipster,my,artist,,,SinfonÃ­a Hipster
1069,add this album to Digster Future Hits,,album,,,Digster Future Hits
1070,Add naseer shamma to piano chill,,,,naseer shamma,piano chill
1071,Add Buddy Tate to just dance by aftercluv list,,,,Buddy Tate,just dance by aftercluv
1072,Add Barbara to the metal xplorer playlist.,,,Barbara,,metal xplorer
1073,I want jimmie noone on the playlist titled lo mejor de los 00's,,,,jimmie noone,lo mejor de los 00's
1074,add song to thrash attack,,song,,,thrash attack
1075,Can you put this xandee  song onto my  chill playlist?,my,song,,xandee,chill
1076,add falling upstairs to the playlist named chill out,,,falling upstairs,,chill out
1077,Can you add some Tommie Sunshine to my  chill out playlist,my,,,Tommie Sunshine,chill out
1078,Add Waltz for Debby to my  Soft Pop Hits playlist.,my,,Waltz for Debby,,Soft Pop Hits
1079,Add Tunnel of Love to ethel's  metal crash course palylist,ethel's,,Tunnel of Love,,metal crash course
1080,add tune to my  metal crash course playlist,my,tune,,,metal crash course
1081,add this tune by Nokio the N Tity to my  this is bb king playlist,my,tune,,Nokio the N Tity,this is bb king
1082,add this peter iwers  album to my  ntc gym strong,my,album,,peter iwers,ntc gym strong
1083,add a new entry for mon beau sapin in lela's  mÃºsica libre playlist,lela's,,mon beau sapin,,mÃºsica libre
1084,Can the artist  big mama thornton be put onto my  Trabajo Relax playlist?,my,artist,,big mama thornton,Trabajo Relax
1085,add this track to my  Dinnertime Acoustics playist,my,track,,,Dinnertime Acoustics
1086,Add Hallucinations of Despair to my  this is trey songz playlist.,my,,Hallucinations of Despair,,this is trey songz
1087,put this track on the playlist with the name roadrunner rec new releases,,track,,,roadrunner rec new releases
1088,Ad Amal Hijazi  tune to my  Pura Vida,my,tune,,Amal Hijazi,Pura Vida
1089,I want to put this song in my  new boots playlist,my,song,,,new boots
1090,Put No Mystery into my  Punk Essentials playlist.,my,,No Mystery,,Punk Essentials
1091,"I want to send music to ann's lists from SIR John Winston Ono Lennon , put it on her Infinite Indie Folk list",ann's,,SIR John Winston Ono Lennon,,Infinite Indie Folk
1092,Add irving berlin to my  dishwashing,my,,,irving berlin,dishwashing
1093,Add Gary Valenciano to the power gaming playlist.,,,,Gary Valenciano,power gaming
1094,Please add 80s Classic Hits  Asking for It to my playlist,my,,Asking for It,,80s Classic Hits
1095,add artist  my  laundry playlist,my,artist,,,laundry
1096,add Billy Martin  album to my  legendary guitar solos playlist,my,album,,Billy Martin,legendary guitar solos
1097,add this song to my  southern gothic playlist,my,song,,,southern gothic
1098,Add Luiza Possi to my  bachelor party playlist.,my,,,Luiza Possi,bachelor party
1099,Add track by Fleetwood Mac to lakeisha's playlist TODO NOVEDADES,lakeisha's,track,,,TODO NOVEDADES
1100,Add See Me Now to my  enamorÃ¡ndose playlist,my,,See Me Now,,enamorÃ¡ndose
1101,add the artist  a j pero to my  Country Gold playlist,my,artist,,a j pero,Country Gold
1102,add this artist to sunshine reggae ,,artist,,,sunshine reggae
1103,Add what if we were real to my  Ultimate 80s playlist,my,,what if we were real,,Ultimate 80s
1104,Add unreachable to my  wine & dine playlist.,my,,unreachable,,wine & dine
1105,add the artist to my  31 Minutos playlist,my,artist,,,31 Minutos
1106,Can you add woman of the world to my playlist entitled Duetos,my,,woman of the world,,Duetos
1107,add this track to my  global funk,my,track,,,global funk
1108,Put a gary clark  song into the soul bpm playlist.,,song,,gary clark,soul bpm
1109,Add a track by flesh n bone to my  totally alternative playlist.,my,track,,flesh n bone,totally alternative
1110,add something so right to lora's  80s Classic Hits playlist,lora's,,something so right,,80s Classic Hits
1111,Put this Yury Chernavsky  tune on my  Alternative Route playlist,my,tune,,Yury Chernavsky,Alternative Route
1112,add nour mhanna to workday lounge,,,,nour mhanna,workday lounge
1113,add naomi schemer to my  Hanging Out and Relaxing,my,,,naomi schemer,Hanging Out and Relaxing
1114,add this track to my  Gold School playlist,my,track,,,Gold School
1115,add Petar Georgiev Kalica  song to my  Push Button Funk playlist,my,song,,Petar Georgiev Kalica,Push Button Funk
1116,Add a song by Jil Y Creek to my  spring music,my,song,,Jil Y Creek,spring music
1117,put kan on my  Indie Rock Road Trip,my,,kan,,Indie Rock Road Trip
1118,add this artist named Kirk Hammett to my playlist Los 40 Radio Ãxitos,my,artist,,Kirk Hammett,Los 40 Radio Ãxitos
1119,add Give Us Rest to my  Very Nearly Nashville playlist,my,,Give Us Rest,,Very Nearly Nashville
1120,put deep purple on this is jennifer lopez,,,deep purple,,this is jennifer lopez
1121,Add the track to the Best Metal of the New Millennium playlist.,,track,,,Best Metal of the New Millennium
1122,add this song to Country Coffeehouse,,song,,,Country Coffeehouse
1123,Add venedig im regen to this is Maxwell,,,venedig im regen,,this is Maxwell
1124,Add Rodriguez  artist to my  mujeres y hombres y fiesta playlist,my,artist,,Rodriguez,mujeres y hombres y fiesta
1125,add The Field  album to my  romantic evening  album,my,album,,The Field,romantic evening
1126,add the album to the metalcore playlist,,album,,,metalcore
1127,add the artist  w g snuffy walden to my  Billboard Latin Music Awards Finalists playlist,my,artist,,w g snuffy walden,Billboard Latin Music Awards Finalists
1128,add richard sohl to dinner for 2,,,,richard sohl,dinner for 2
1129,put four in blue onto Ultimate 00s .,,,four in blue,,Ultimate 00s
1130,add Madchild to Electro Latino,,,,Madchild,Electro Latino
1131,Add my favorite artist to the focus now playlist,my,artist,,,focus now
1132,add song to This Is Philip Glass,,song,,,This Is Philip Glass
1133,Add manos hatzidakis to lo mejor de los 00's,,,,manos hatzidakis,lo mejor de los 00's
1134,Add keine grenzen to New Metal Tracks,,,keine grenzen,,New Metal Tracks
1135,Put Beside You in my  spotify orchestra cello playlist.,my,,Beside You,,spotify orchestra cello
1136,Please add checkmate to my  irish folk â jigs & reels playlist,my,,checkmate,,irish folk â jigs & reels
1137,Add this track to my  Zen Focus playlist,my,track,,,Zen Focus
1138,add the album to my  Latin Pop Rising playlist,my,album,,,Latin Pop Rising
1139,Add image to the Nuclear Blast Novelties playlist,,,image,,Nuclear Blast Novelties
1140,Add Der K und K Kalypso aus Wien to vonda's playlist Pura Vida,vonda's,,Der K und K Kalypso aus Wien,,Pura Vida
1141,Add tune to this is trey songz,,tune,,,this is trey songz
1142,Add Sam Moran music to my  tgif playlist,my,,,Sam Moran,tgif
1143,add post mortem to my  timeless love songs playlist,my,,,post mortem,timeless love songs
1144,Put this shelter from the storm on r&b party classics,,,shelter from the storm,,r&b party classics
1145,Add The Maid of Amsterdam to my  80s smash hits,my,,The Maid of Amsterdam,,80s smash hits
1146,Add One Good Reason to the bachelor party playlist,,,One Good Reason,,bachelor party
1147,add Joe Hickerson to my  Jazz â Classical Crossings,my,,,Joe Hickerson,Jazz â Classical Crossings
1148,add If You Were Mine to Classic Punk playlist,,,If You Were Mine,,Classic Punk
1149,add The Green Book in my playlist Mellowed Out Gaming,my,,The Green Book,,Mellowed Out Gaming
1150,Add pittsburgh slim to my  indie mim playlist.,my,,,pittsburgh slim,indie mim
1151,add the tune to my  jazz vibes playlist,my,tune,,,jazz vibes
1152,add El valle del Jarama to my  working day playlist,my,,El valle del Jarama,,working day
1153,add share the well to my  epic wall of sound,my,,share the well,,epic wall of sound
1154,Add another tune to kristine's  laundry playlist.,kristine's,tune,,,laundry
1155,add The Rough Guide to the Music of Eastern Europe to my  This Is Philip Glass playlist,my,,The Rough Guide to the Music of Eastern Europe,,This Is Philip Glass
1156,add als het om de liefde gaat to my  this is handel playlist,my,,als het om de liefde gaat,,this is handel
1157,Can you put this tune onto Latin Dance Cardio ?,,tune,,,Latin Dance Cardio
1158,"I need to add an artist to one of my playlists, Classical New Releases Spotify Picks .",my,artist,,,Classical New Releases Spotify Picks
1159,Add maki ohguro to the rock hard playlist,,,,maki ohguro,rock hard
1160,add this matt bachand  tune to pure rock & roll,,tune,,matt bachand,pure rock & roll
1161,Add Testifying to donna's  tokyo rising palylist,donna's,,Testifying,,tokyo rising
1162,Add East Grand Blues to the This Is Nicky Jam playlist.,,,East Grand Blues,,This Is Nicky Jam
1163,add my old kentucky home to Fresh Finds Fire Emoji,,,my old kentucky home,,Fresh Finds Fire Emoji
1164,I want to add Sin rencor to my playlist entitled te quiero,my,,Sin rencor,,te quiero
1165,Add a yesudas  song in my  piano chill playlist.,my,song,,yesudas,piano chill
1166,Add daigo to indietronic,,,,daigo,indietronic
1167,put Joseph Utsler on All Out 70s,,,,Joseph Utsler,All Out 70s
1168,Can I put Indocumentado onto my  Folk Music At The Gaslight CafÃ© playlist?,my,,Indocumentado,,Folk Music At The Gaslight CafÃ©
1169,add armand van helden to my  black sabbath the ozzy years playlist,my,,,armand van helden,black sabbath the ozzy years
1170,I want the Turbonegro  album to go on the playlist called Genuine R&B,,album,,Turbonegro,Genuine R&B
1171,Incorporate Moribund the Burgermeister into the 50 Shades of Love playlist.,,,Moribund the Burgermeister,,50 Shades of Love
1172,can you put The Little Grey Mother Who Waits All Alone into uncharted 4 nathan drake,,,The Little Grey Mother Who Waits All Alone,,uncharted 4 nathan drake
1173,add paula abdul to Classic Acoustic playlist,,,,paula abdul,Classic Acoustic
1174,add tune  this is puccini to my playlist,my,tune,,,this is puccini
1175,add this artist to FIFA 17 Soundtrack,,artist,,,FIFA 17 Soundtrack
1176,Include Badmeaningood Volume4 in jaime's  Animal Stories playlist.,jaime's,,Badmeaningood Volume4,,Animal Stories
1177,add this Infernus  tune do marsha's  de camino a clase,marsha's,tune,,Infernus,de camino a clase
1178,add song in my playlist Dance Workout,my,song,,,Dance Workout
1179,Add this raffaele riefoli  tune to Deathcore,,tune,,raffaele riefoli,Deathcore
1180,add this track to my  road trip playlist,my,track,,,road trip
1181,add this song by deron miller to my  party on fridays playlist,my,song,,deron miller,party on fridays
1182,Please add to my playlist Hype the name introducing a r rahman,my,,introducing a r rahman,,Hype
1183,put this Kes  song on the feel good indie rock playlist,,song,,Kes,feel good indie rock
1184,add the track by Paul Gray to my  2010s smash hits playlist,my,track,,Paul Gray,2010s smash hits
1185,Add Mel Draisey tomy 80s Classic Hits playlist.,,,,Mel Draisey,80s Classic Hits
1186,add A-Hunting We Will Go to the Emily Dickinson playlist,,,A-Hunting We Will Go,,Emily Dickinson
1187,Add a song to playlist chill hits,,song,,,chill hits
1188,Put new page onto my  latin jazz playlist.,my,,new page,,latin jazz
1189,Add the tune to my  Women of Latin Music playlist.,my,tune,,,Women of Latin Music
1190,Add Welcome to the Cruel World to my  Reggae Classics playlist,my,,Welcome to the Cruel World,,Reggae Classics
1191,"add this song to my playlist named Britpop, etc",my,song,,,"Britpop, etc"
1192,Add htoo ein thin to my  brooklyn beat playlist.,my,,,htoo ein thin,brooklyn beat
1193,Add Kd lang to my  Deep Focus playlist,my,,,Kd lang,Deep Focus
1194,Add artist to my  Broken Heart,my,artist,,,Broken Heart
1195,Add Pimp C to my  workout remix .,my,,,Pimp C,workout remix
1196,Add dahmer to hiphop hot 50,,,dahmer,,hiphop hot 50
1197,Add a track to my playlist Classic Acoustic,my,track,,,Classic Acoustic
1198,Add a tune to my  Sleep Sounds list,my,tune,,,Sleep Sounds
1199,add track to Indie Electronics playlist,,track,,,Indie Electronics
1200,add the Chamillionaire  track to lina's  wedding classics playlist,lina's,track,,Chamillionaire,wedding classics
1201,add undressed to my  Country Icon playlist,my,,undressed,,Country Icon
1202,Add dr know to my  TODO ALTERNATIVO playlist.,my,,,dr know,TODO ALTERNATIVO
1203,Add Ashley Cafagna Tesoro to my  reggae en espaÃ±ol list,my,,,Ashley Cafagna Tesoro,reggae en espaÃ±ol
1204,add steel guitar rag in acoustic covers the mash ups,,,steel guitar rag,,acoustic covers the mash ups
1205,Add the tune to my  House Afterwork playlist.,my,tune,,,House Afterwork
1206,put coming back to life onto winter music,,,coming back to life,,winter music
1207,add The Crowd to corinne's  acoustic soul playlist,corinne's,,,The Crowd,acoustic soul
1208,add abrar ul haq to Confidence Boost,,,,abrar ul haq,Confidence Boost
1209,I want another album in my  disco fever playlist.,my,album,,,disco fever
1210,Add this artist to the laugh list,,artist,,,the laugh list
1211,put this Kan Mikami  tune on fresh finds cyclone,,tune,,Kan Mikami,fresh finds cyclone
1212,Can ten green bottles be added to brooklyn beat ?,,,ten green bottles,,brooklyn beat
1213,add song to my  eletro br playlist,my,song,,,eletro br
1214,"I would like to add to my plalist, Visjoner onto the old school metal one",my,,Visjoner,,old school metal
1215,put the artist  michael todd in my  Afternoon Train Ride list,my,artist,,michael todd,Afternoon Train Ride
1216,Add mr j medeiros to my  Women of Country playlist.,my,,,mr j medeiros,Women of Country
1217,put this tune onto my  party through the decades playlist,my,tune,,,party through the decades
1218,add this song to my  crossroad blues playlist,my,song,,,crossroad blues
1219,Add robin trower to the medieval 50 spotify picks playlist.,,,,robin trower,medieval 50 spotify picks
1220,Add dave bickler to my  all out 90s playlist,my,,,dave bickler,all out 90s
1221,Add this song to my  fairy tales,my,song,,,fairy tales
1222,put this tune playing into my  La Mejor MÃºsica Dance 2017 playlist,my,tune,,,La Mejor MÃºsica Dance 2017
1223,add Halfway Between Here and There to my  canadian country playlist,my,,Halfway Between Here and There,,canadian country
1224,add this song to my  Love Hurts playlist,my,song,,,Love Hurts
1225,please put live with me onto my playlist named CARÃCTER LATINO,my,,live with me,,CARÃCTER LATINO
1226,Add died to the todo latino playlist,,,died,,todo latino
1227,Add Welcome to the Cruel World to my  Reggae Classics,my,,Welcome to the Cruel World,,Reggae Classics
1228,Add moby grape live to enamorÃ¡ndose,,,moby grape live,,enamorÃ¡ndose
1229,add Dr Know to the playlist named I Love My 90's R&B,,,,Dr Know,I Love My 90's R&B
1230,Add Elkie Brooks to Happy Birthday playlist,,,,Elkie Brooks,Happy Birthday
1231,add the song to my  the funny thing about football is playlist,my,song,,,the funny thing about football is
1232,Add this track to winnie's  post metal playlist,winnie's,track,,,post metal
1233,Add la jaula de oro to my  Evening Commute playlist,my,,la jaula de oro,,Evening Commute
1234,add Jalal Zolfonun to my  Nature Noise,my,,,Jalal Zolfonun,Nature Noise
1235,Add this song to indie hipster,,song,,,indie hipster
1236,add this tune to my  guest list gamesradar playlist,my,tune,,,guest list gamesradar
1237,Add album to Pop Rising,,album,,,Pop Rising
1238,add take it back to my  Metal Party playlist,my,,take it back,,Metal Party
1239,I want you to add a George Chisholm  tune to my  40 hits playlist.,my,tune,,George Chisholm,40 hits
1240,add Salil Chowdhury to my  35 Soul Classics 1970 to 1975 playlsit,my,,,Salil Chowdhury,35 Soul Classics 1970 to 1975
1241,Add O B McClinton to my playlist called Women of Electronic,my,,,O B McClinton,Women of Electronic
1242,I would like you to add now the hits of winter 2008 onto my  ntc studio sounds playlist.,my,,now the hits of winter 2008,,ntc studio sounds
1243,add an album in Sweet Soul Chillout,,album,,,Sweet Soul Chillout
1244,Add Por una Cabeza to my playlist called this is new edition,my,,Por una Cabeza,,this is new edition
1245,Add this track to the playlist Korean OSTs,,track,,,Korean OSTs
1246,add scarlet begonias to my  para entrenar playlist,my,,scarlet begonias,,para entrenar
1247,Put wreck of the tennessee gravy train in the Kids Workout playlist.,,,wreck of the tennessee gravy train,,Kids Workout
1248,Add the singer ivan roudyk to my  fairy tales playlists,my,,,ivan roudyk,fairy tales
1249,add fabrice morvan to Folk for Kids,,,,fabrice morvan,Folk for Kids
1250,add artist  John William Boone to my  life's short; play fast playlist,my,artist,,John William Boone,life's short; play fast
1251,Add Sheila to enamorÃ¡ndose,,,,Sheila,enamorÃ¡ndose
1252,For the Classic Road Trip Songs add the entity unwelcome,,,unwelcome,,Classic Road Trip Songs
1253,put once bitten twice bitten into the pulse of americana,,,once bitten twice bitten,,the pulse of americana
1254,Include hohenfriedberger marsch to my  Novedades Pop list.,my,,hohenfriedberger marsch,,Novedades Pop
1255,go ahead and add blowfly to my  This Is Schubert list,my,,,blowfly,This Is Schubert
1256,Add Michael Balzary to mujeres y hombres y fiesta,,,,Michael Balzary,mujeres y hombres y fiesta
1257,add this artist to my  80'S PARTY,my,artist,,,80'S PARTY
1258,Add the happy elf to my  Fresh Finds Fire Emoji playlist,my,,the happy elf,,Fresh Finds Fire Emoji
1259,add bulat schalwowitsch okudschawa to retro pop,,,,bulat schalwowitsch okudschawa,retro pop
1260,put this album on my playlist titled dance hits,my,album,,,dance hits
1261,Add the lady bunny  album to dÃ©cadas,,album,,lady bunny,dÃ©cadas
1262,add Toi to my  timeless love songs playlist,my,,Toi,,timeless love songs
1263,I want new steps to go on the leche con chocolate list,,,new steps,,leche con chocolate
1264,add Classic Punk by Chab,,,,Chab,Classic Punk
1265,add potje met vet to my  electronic gaming playlis,my,,potje met vet,,electronic gaming
1266,add artist  post metal to playlist,,artist,,,post metal
1267,put artist  Harry Burleigh on classical new releases spotify picks,,artist,,Harry Burleigh,classical new releases spotify picks
1268,Include Sean Yseult in kaitlin's  metal overload playlist.,kaitlin's,,,Sean Yseult,metal overload
1269,ad Sabah to my  Evening Groove playlist,my,,,Sabah,Evening Groove
1270,add this tune by Hal Patino to my  Ambiente RnB playlist,my,tune,,Hal Patino,Ambiente RnB
1271,Put Kim Kibum in my  the martin garrix show playlist.,my,,,Kim Kibum,the martin garrix show
1272,add all the years to ConcentraciÃ³n,,,all the years,,ConcentraciÃ³n
1273,Add harlow wilcox to hip hop club bangers,,,,harlow wilcox,hip hop club bangers
1274,add manuelita to my  indiespensables playlist,my,,manuelita,,indiespensables
1275,Add dear hearts and gentle people to he Tokyo Rising playlist.,,,dear hearts and gentle people,,Tokyo Rising
1276,Add Eef Barzelay to the Trad Folk playlist.,,,,Eef Barzelay,Trad Folk
1277,Incorporate a russel walder  track onto gay's  Funk Rock playlist.,gay's,track,,russel walder,Funk Rock
1278,Add a kiley dean  tune to my  jazz for loving couples playlist,my,tune,,kiley dean,jazz for loving couples
1279,Add this track to clÃ¡sicos del hip hop espaÃ±ol,,track,,,clÃ¡sicos del hip hop espaÃ±ol
1280,Add artist to TODO EDM,,artist,,,TODO EDM
1281,add megon mcdonough  indie songs for slackers to my playlist artist,my,artist,,megon mcdonough,indie songs for slackers
1282,add det kimer nu til julefest to my playlist technical&brutal death metal,my,,det kimer nu til julefest,,technical&brutal death metal
1283,Add to my list  the tune  summer of love,my,tune,,,summer of love
1284,Can you add a song by Bill Frisell to my  Top Latin Alternative playlist,my,song,,Bill Frisell,Top Latin Alternative
1285,Add an album to my  week end playlist,my,album,,,week end
1286,add song to Women of SXSW,,song,,,Women of SXSW
1287,put this track on operaciÃ³n bikini,,track,,,operaciÃ³n bikini
1288,add this artist to my  the road to punk rock playlist,my,artist,,,the road to punk rock
1289,Can you add Through the Darkness They March to my  once upon a time playlist,my,,Through the Darkness They March,,once upon a time
1290,add Tracy Chapman to Late Night Jazz,,,,Tracy Chapman,Late Night Jazz
1291,for my  tÃ© para tres list add cut the world,my,,cut the world,,tÃ© para tres
1292,Put a track into my  Classic Country playlist.,my,track,,,Classic Country
1293,Add Trina to latoya's  Hillary Clinton's Women's History Month Playlist .,latoya's,,,Trina,Hillary Clinton's Women's History Month Playlist
1294,Can you put falling upstairs on my playlist entitled This Is Thomas Rhett,my,,falling upstairs,,This Is Thomas Rhett
1295,Add a tune to my playlist Guest List Polygon,my,tune,,,Guest List Polygon
1296,Add Amir Khan to my playlist Acoustic Blues,my,,,Amir Khan,Acoustic Blues
1297,add the artist  Choclair to La mejor mÃºsica de BSO,,artist,,Choclair,La mejor mÃºsica de BSO
1298,rate tune to 90's Baby Makers,,tune,,,90's Baby Makers
1299,Love In Paris needs some frank farian in the playlist.,,,,frank farian,Love In Paris
1300,The Zen Focus playlist needs David Franj in it.,,,,David Franj,Zen Focus
1301,add 21 AT 33 to the playlist called wake up everybody,,,21 AT 33,,wake up everybody
1302,Add your loving flame to my palylist Rock,my,,your loving flame,,Rock
1303,Put this song on my  indiespensables playlist,my,song,,,indiespensables
1304,Add the second three years to my  workout twerkout playlist,my,,the second three years,,workout twerkout
1305,Add 2012 Zwanzig ZwÃ¶lf to my  miami 2017 guest list,my,,2012 Zwanzig ZwÃ¶lf,,miami 2017 guest list
1306,I'd like johnny nash to be put into my playlist Always Pop Punk,my,,,johnny nash,Always Pop Punk
1307,Add Raisins secs et amandes to this is new edition,,,Raisins secs et amandes,,this is new edition
1308,Add this song to Blues Roots,,song,,,Blues Roots
1309,add Yameen to the uncharted 4 nathan drake playlist,,,,Yameen,uncharted 4 nathan drake
1310,Add Strong to the Metal Monday playlist,,,Strong,,Metal Monday
1311,I want you to put this track onto the playlist called throwback party .,,track,,,throwback party
1312,Add a tune to rare groove,,tune,,,rare groove
1313,add Adam Yauch to my  Spooning,my,,,Adam Yauch,Spooning
1314,Add el choclo to my  women of classical list,my,,el choclo,,women of classical
1315,Add the Spirit of Life to naÃ§Ã£o reggae,,,Spirit of Life,,naÃ§Ã£o reggae
1316,Add kjetil vidar haraldstad to my  para entrenar playlist.,my,,,kjetil vidar haraldstad,para entrenar
1317,Add teriazume to the naÃ§Ã£o reggae playlist,,,teriazume,,naÃ§Ã£o reggae
1318,Put a molly mcguire  album in my  metal talks kreator playlist.,my,album,,molly mcguire,metal talks kreator
1319,add artist to my playlist primavera sound 2016 barcelona ,my,artist,,,primavera sound 2016 barcelona
1320,add this tune by Jim White to my playlist Rumba y mÃ¡s,my,tune,,Jim White,Rumba y mÃ¡s
1321,add track  Nature Noise to my playlist,my,track,,,Nature Noise
1322,To johnnie's  funtime activity playlist add the name The Best of Guitar Shorty,johnnie's,,The Best of Guitar Shorty,,funtime activity
1323,Can you add something by Faultline to jannie's  Strength of Street Knowledge playlist,jannie's,,,Faultline,Strength of Street Knowledge
1324,Add this song to my  lo que suena new york playlist,my,song,,,lo que suena new york
1325,matt monro newest album add to my  chill out music,my,album,,matt monro,chill out music
1326,add house afterwork to my  the cave canem demos,my,,the cave canem demos,,house afterwork
1327,put Johnny Wakelin on my  tÃ© para tres lis,my,,,Johnny Wakelin,tÃ© para tres
1328,put this album on r&b movement,,album,,,r&b movement
1329,Add the name the magnificent tree to playlist this is Rosana,,,the magnificent tree,,this is Rosana
1330,add tune  Digster Reggae,,tune,,,Digster Reggae
1331,Add Hanging On to my  just dance by aftercluv playlist.,my,,Hanging On,,just dance by aftercluv
1332,add billy eckstine to my  emotron,my,,,billy eckstine,emotron
1333,Add my  track to old school metal playlist,my,track,,,old school metal
1334,add this tune to my  Dance playlist,my,tune,,,Dance
1335,Can jovino santos neto 's album get added to my  Confidence Boost playlist?,my,album,,jovino santos neto,Confidence Boost
1336,Add track to Urban Poet,,track,,,Urban Poet
1337,put Anna Grigorjewna Semenowitsch in all out 00s list,,,,Anna Grigorjewna Semenowitsch,all out 00s
1338,put Limey onto my  this is astor piazzolla list,my,,Limey,,this is astor piazzolla
1339,Add something by Paul Whiteman to my  sweet soul chillout playlist please,my,,,Paul Whiteman,sweet soul chillout
1340,add Chong Nee to my  Spread The Gospel,my,,,Chong Nee,Spread The Gospel
1341,add artist  brenda k starr to frescura indie,,artist,,brenda k starr,frescura indie
1342,Add Welcome to the Cruel World to my  Reggae Classics,my,,Welcome to the Cruel World,,Reggae Classics
1343,add pete shelley to Is It New Wave,,,,pete shelley,Is It New Wave
1344,add GodMusic to my  latin dance cardio playlist,my,,GodMusic,,latin dance cardio
1345,add track by Klute to winifred's  de camino a clase playlist,winifred's,track,,Klute,de camino a clase
1346,move this tune by Hironobu Kageyama to my  Baila Reggaeton playlist,my,tune,,Hironobu Kageyama,Baila Reggaeton
1347,I want to add Digital Line to my playlist called Infantil,my,,Digital Line,,Infantil
1348,Add Sorrow to my  it's ok to like jazz,my,,Sorrow,,it's ok to like jazz
1349,add when ice met cream to This Is Alejandro FernÃ¡ndez playlist,,,when ice met cream,,This Is Alejandro FernÃ¡ndez
1350,I want to add the Tim Smith  album to my  best of 2010's playlist,my,album,,Tim Smith,best of 2010's
1351,Add from the ashes to my  rock gaming playlist,my,,from the ashes,,rock gaming
1352,Add viktor merjanov to california rock state,,,,viktor merjanov,california rock state
1353,I would like Ignacio Figueredo 's tune added to electroNOW .,,tune,,Ignacio Figueredo,electroNOW
1354,put Ik Tara onto pure seduction playlist,,,Ik Tara,,pure seduction
1355,add track to my playslist this is Los Fabulosos Cadillacs,my,track,,,this is Los Fabulosos Cadillacs
1356,Add ilse delange to my  journey playlist,my,,,ilse delange,journey
1357,add vertexguy to Beach Vibes,,,,vertexguy,Beach Vibes
1358,Add the secret wars into the digging now playlist,,,the secret wars,,digging now
1359,add Of Rivers and Religion to my  sexy as folk playlist,my,,Of Rivers and Religion,,sexy as folk
1360,Add album to all out 00s,,album,,,all out 00s
1361,Please include danni bassan in my  Perfect Concentration,my,,,danni bassan,Perfect Concentration
